Labels	ph12emmissions_360_370	
Type	Emission Scan	
Comment		
Start	370.00	
Stop	550.00	
Step	1.00	
Fixed/Offset	360.00	
Xaxis	Wavelength	
Yaxis	Counts	
Scan Corr. by File	True	
Corr. by Ref. Det.	True	
Fixed/Offset Corr. by File	False	
Repeats	1	
Dwell Time	1.00	
Lamp	Xe	
Temp	0.00	
Scan Polariser	None	
Scan Slit	1.4995313	
Fixed/Offset Polariser	None	
Fixed/Offset Slit	1.4995313	
Detector	CB Det1	

370.00	1.39880996E+4	
371.00	1.65421406E+4	
372.00	1.90298652E+4	
373.00	2.20714414E+4	
374.00	2.53111211E+4	
375.00	2.88443496E+4	
376.00	3.26434902E+4	
377.00	3.65925859E+4	
378.00	4.13929727E+4	
379.00	4.59169492E+4	
380.00	5.10989180E+4	
381.00	5.59529336E+4	
382.00	6.11149102E+4	
383.00	6.65959219E+4	
384.00	7.23115938E+4	
385.00	7.80185938E+4	
386.00	8.40685000E+4	
387.00	8.98754922E+4	
388.00	9.60054063E+4	
389.00	1.01702578E+5	
390.00	1.07153945E+5	
391.00	1.12917297E+5	
392.00	1.18826977E+5	
393.00	1.24334914E+5	
394.00	1.29795914E+5	
395.00	1.35176250E+5	
396.00	1.40643438E+5	
397.00	1.45473969E+5	
398.00	1.49792953E+5	
399.00	1.54882938E+5	
400.00	1.59058313E+5	
401.00	1.63636469E+5	
402.00	1.66830516E+5	
403.00	1.70596359E+5	
404.00	1.73496719E+5	
405.00	1.77145438E+5	
406.00	1.80369281E+5	
407.00	1.82969891E+5	
408.00	1.85215734E+5	
409.00	1.87778016E+5	
410.00	1.87755844E+5	
411.00	1.88722969E+5	
412.00	1.89745844E+5	
413.00	1.89882531E+5	
414.00	1.89693828E+5	
415.00	1.89027406E+5	
416.00	1.89265234E+5	
417.00	1.88148016E+5	
418.00	1.88050609E+5	
419.00	1.86997203E+5	
420.00	1.86032375E+5	
421.00	1.84730609E+5	
422.00	1.83515859E+5	
423.00	1.82307703E+5	
424.00	1.79871125E+5	
425.00	1.78150984E+5	
426.00	1.76339000E+5	
427.00	1.73781828E+5	
428.00	1.71643375E+5	
429.00	1.69489531E+5	
430.00	1.67104219E+5	
431.00	1.64021297E+5	
432.00	1.61754328E+5	
433.00	1.59189641E+5	
434.00	1.57100094E+5	
435.00	1.53836359E+5	
436.00	1.51263547E+5	
437.00	1.48152906E+5	
438.00	1.44985891E+5	
439.00	1.42114453E+5	
440.00	1.39086984E+5	
441.00	1.36375625E+5	
442.00	1.33009938E+5	
443.00	1.30132531E+5	
444.00	1.26775703E+5	
445.00	1.23866258E+5	
446.00	1.20648078E+5	
447.00	1.17539516E+5	
448.00	1.14329438E+5	
449.00	1.11734727E+5	
450.00	1.08655992E+5	
451.00	1.05493539E+5	
452.00	1.02472313E+5	
453.00	9.95812422E+4	
454.00	9.69277656E+4	
455.00	9.39573281E+4	
456.00	9.13108359E+4	
457.00	8.85101016E+4	
458.00	8.57025391E+4	
459.00	8.32813672E+4	
460.00	8.07513203E+4	
461.00	7.82876016E+4	
462.00	7.58321875E+4	
463.00	7.36019844E+4	
464.00	7.11435391E+4	
465.00	6.89269219E+4	
466.00	6.64234844E+4	
467.00	6.42228047E+4	
468.00	6.22891133E+4	
469.00	6.01460117E+4	
470.00	5.82428125E+4	
471.00	5.62496719E+4	
472.00	5.41221172E+4	
473.00	5.22198594E+4	
474.00	5.06198164E+4	
475.00	4.86828281E+4	
476.00	4.71704180E+4	
477.00	4.54848203E+4	
478.00	4.36499219E+4	
479.00	4.22560234E+4	
480.00	4.06614492E+4	
481.00	3.90367773E+4	
482.00	3.78669922E+4	
483.00	3.65602852E+4	
484.00	3.51357930E+4	
485.00	3.40283594E+4	
486.00	3.25460156E+4	
487.00	3.13458809E+4	
488.00	3.03653242E+4	
489.00	2.91423223E+4	
490.00	2.79123926E+4	
491.00	2.69727188E+4	
492.00	2.58606152E+4	
493.00	2.49319688E+4	
494.00	2.39812246E+4	
495.00	2.30220664E+4	
496.00	2.21499023E+4	
497.00	2.14433320E+4	
498.00	2.06447559E+4	
499.00	1.98611230E+4	
500.00	1.90421406E+4	
501.00	1.82307441E+4	
502.00	1.75037930E+4	
503.00	1.69041113E+4	
504.00	1.63412773E+4	
505.00	1.56833721E+4	
506.00	1.50358154E+4	
507.00	1.44801455E+4	
508.00	1.38151465E+4	
509.00	1.33954736E+4	
510.00	1.28346328E+4	
511.00	1.23163779E+4	
512.00	1.20186348E+4	
513.00	1.14970996E+4	
514.00	1.09003486E+4	
515.00	1.04119043E+4	
516.00	9.98091992E+3	
517.00	9.65557129E+3	
518.00	9.21921680E+3	
519.00	8.89423535E+3	
520.00	8.57207422E+3	
521.00	8.05541064E+3	
522.00	7.95624268E+3	
523.00	7.60720850E+3	
524.00	7.33550342E+3	
525.00	6.98248438E+3	
526.00	6.92353711E+3	
527.00	6.50987598E+3	
528.00	6.31092578E+3	
529.00	6.05176416E+3	
530.00	5.85710889E+3	
531.00	5.68379053E+3	
532.00	5.33845557E+3	
533.00	5.20665576E+3	
534.00	4.95787744E+3	
535.00	4.87872217E+3	
536.00	4.62444824E+3	
537.00	4.43984766E+3	
538.00	4.20736133E+3	
539.00	4.09836230E+3	
540.00	3.95295459E+3	
541.00	3.72719189E+3	
542.00	3.68210791E+3	
543.00	3.52659570E+3	
544.00	3.42385962E+3	
545.00	3.29168872E+3	
546.00	3.17838574E+3	
547.00	3.03663208E+3	
548.00	2.92145776E+3	
549.00	2.87164917E+3	
550.00	2.72976221E+3	
