Labels	ph02anregung420_410	
Type	Excitation Scan	
Comment		
Start	275.00	
Stop	410.00	
Step	1.00	
Fixed/Offset	420.00	
Xaxis	Wavelength	
Yaxis	Counts	
Scan Corr. by File	False	
Corr. by Ref. Det.	True	
Fixed/Offset Corr. by File	True	
Repeats	1	
Dwell Time	0.50	
Lamp	Xe	
Temp	0.00	
Scan Polariser	None	
Scan Slit	1.4995313	
Fixed/Offset Polariser	None	
Fixed/Offset Slit	1.4995313	
Detector	CB Det1	

275.00	2.68173789E+4	
276.00	2.40770449E+4	
277.00	2.13821230E+4	
278.00	2.00366641E+4	
279.00	1.90713281E+4	
280.00	1.87973242E+4	
281.00	1.90111094E+4	
282.00	1.95778750E+4	
283.00	1.98599297E+4	
284.00	1.99199395E+4	
285.00	1.94866992E+4	
286.00	1.78460391E+4	
287.00	1.53113428E+4	
288.00	1.26417744E+4	
289.00	9.99983789E+3	
290.00	8.32185547E+3	
291.00	6.91784180E+3	
292.00	6.08977002E+3	
293.00	5.53588379E+3	
294.00	5.38812744E+3	
295.00	5.51029248E+3	
296.00	5.46094727E+3	
297.00	5.85721533E+3	
298.00	6.04554297E+3	
299.00	6.40439990E+3	
300.00	6.69566260E+3	
301.00	7.00356738E+3	
302.00	7.36945703E+3	
303.00	7.48685596E+3	
304.00	7.89433447E+3	
305.00	8.32708008E+3	
306.00	8.69184668E+3	
307.00	9.14282715E+3	
308.00	9.39748438E+3	
309.00	1.02451025E+4	
310.00	1.05133916E+4	
311.00	1.11587119E+4	
312.00	1.20596230E+4	
313.00	1.24908564E+4	
314.00	1.29891836E+4	
315.00	1.30216016E+4	
316.00	1.31671455E+4	
317.00	1.33013828E+4	
318.00	1.30607656E+4	
319.00	1.32174805E+4	
320.00	1.30668447E+4	
321.00	1.34707461E+4	
322.00	1.34415313E+4	
323.00	1.39957607E+4	
324.00	1.45887480E+4	
325.00	1.52001973E+4	
326.00	1.57906924E+4	
327.00	1.64720469E+4	
328.00	1.66528809E+4	
329.00	1.61828154E+4	
330.00	1.49840615E+4	
331.00	1.34568643E+4	
332.00	1.16790557E+4	
333.00	9.48125000E+3	
334.00	7.70560205E+3	
335.00	5.84493164E+3	
336.00	4.48815820E+3	
337.00	3.34381323E+3	
338.00	2.41773828E+3	
339.00	1.75941028E+3	
340.00	1.31210999E+3	
341.00	9.80645325E+2	
342.00	7.42064697E+2	
343.00	5.71362549E+2	
344.00	4.31276184E+2	
345.00	3.88349091E+2	
346.00	2.98064270E+2	
347.00	2.77116211E+2	
348.00	2.24717529E+2	
349.00	2.14198441E+2	
350.00	1.89815552E+2	
351.00	1.68156769E+2	
352.00	1.52224457E+2	
353.00	1.33333984E+2	
354.00	1.36272537E+2	
355.00	1.41612274E+2	
356.00	1.31222778E+2	
357.00	1.20241776E+2	
358.00	1.24832092E+2	
359.00	1.42643723E+2	
360.00	1.36852554E+2	
361.00	1.43623337E+2	
362.00	2.12128052E+2	
363.00	3.65849457E+2	
364.00	6.26530273E+2	
365.00	9.74389038E+2	
366.00	1.26701746E+3	
367.00	1.27363855E+3	
368.00	1.15618494E+3	
369.00	9.79849243E+2	
370.00	7.08203064E+2	
371.00	4.53171387E+2	
372.00	2.47036804E+2	
373.00	1.30827133E+2	
374.00	6.82934875E+1	
375.00	4.78713341E+1	
376.00	5.23937721E+1	
377.00	3.53412476E+1	
378.00	3.91926842E+1	
379.00	3.03752232E+1	
380.00	3.64237938E+1	
381.00	3.61251068E+1	
382.00	3.77163010E+1	
383.00	2.94132862E+1	
384.00	3.58586693E+1	
385.00	3.93498077E+1	
386.00	4.21569252E+1	
387.00	3.94017944E+1	
388.00	3.13429966E+1	
389.00	3.61625862E+1	
390.00	3.24386101E+1	
391.00	3.02006149E+1	
392.00	4.86029015E+1	
393.00	4.26158409E+1	
394.00	4.79097786E+1	
395.00	4.10572548E+1	
396.00	3.46059494E+1	
397.00	2.93988304E+1	
398.00	3.77336617E+1	
399.00	3.19781113E+1	
400.00	2.61824722E+1	
401.00	3.81179962E+1	
402.00	3.09795856E+1	
403.00	4.03512001E+1	
404.00	3.78594246E+1	
405.00	4.02631035E+1	
406.00	4.17863083E+1	
407.00	4.64116364E+1	
408.00	4.91563873E+1	
409.00	6.24163132E+1	
410.00	5.86996231E+1	
