Labels	ph06emmissions_320_330	
Type	Emission Scan	
Comment		
Start	330.00	
Stop	550.00	
Step	1.00	
Fixed/Offset	320.00	
Xaxis	Wavelength	
Yaxis	Counts	
Scan Corr. by File	True	
Corr. by Ref. Det.	True	
Fixed/Offset Corr. by File	False	
Repeats	1	
Dwell Time	1.00	
Lamp	Xe	
Temp	0.00	
Scan Polariser	None	
Scan Slit	1.4995313	
Fixed/Offset Polariser	None	
Fixed/Offset Slit	1.4995313	
Detector	CB Det1	

330.00	2.46062227E+4	
331.00	3.29427969E+4	
332.00	4.13172344E+4	
333.00	4.96880625E+4	
334.00	5.80768750E+4	
335.00	6.65509922E+4	
336.00	7.37399609E+4	
337.00	8.03225781E+4	
338.00	8.60956250E+4	
339.00	9.12719375E+4	
340.00	9.56121016E+4	
341.00	9.80701172E+4	
342.00	1.01167586E+5	
343.00	1.04324313E+5	
344.00	1.05706281E+5	
345.00	1.07438734E+5	
346.00	1.08943820E+5	
347.00	1.10292727E+5	
348.00	1.11571922E+5	
349.00	1.12353328E+5	
350.00	1.12685039E+5	
351.00	1.13278711E+5	
352.00	1.13043531E+5	
353.00	1.12952758E+5	
354.00	1.13185430E+5	
355.00	1.12808172E+5	
356.00	1.12671398E+5	
357.00	1.11186617E+5	
358.00	1.09263555E+5	
359.00	1.05620820E+5	
360.00	1.02048313E+5	
361.00	9.89601250E+4	
362.00	9.55091250E+4	
363.00	9.25668281E+4	
364.00	8.94479453E+4	
365.00	8.71630156E+4	
366.00	8.48350859E+4	
367.00	8.22238828E+4	
368.00	7.99335000E+4	
369.00	7.73615469E+4	
370.00	7.54166094E+4	
371.00	7.31137578E+4	
372.00	7.12383281E+4	
373.00	6.89137813E+4	
374.00	6.72887891E+4	
375.00	6.53707852E+4	
376.00	6.35341016E+4	
377.00	6.20146563E+4	
378.00	6.06330859E+4	
379.00	5.90606602E+4	
380.00	5.77977383E+4	
381.00	5.66279219E+4	
382.00	5.52584063E+4	
383.00	5.47447266E+4	
384.00	5.39974531E+4	
385.00	5.32712578E+4	
386.00	5.27399961E+4	
387.00	5.20913281E+4	
388.00	5.18378945E+4	
389.00	5.16007852E+4	
390.00	5.13727656E+4	
391.00	5.15005469E+4	
392.00	5.11529063E+4	
393.00	5.12260313E+4	
394.00	5.16630039E+4	
395.00	5.13893750E+4	
396.00	5.15063242E+4	
397.00	5.15926367E+4	
398.00	5.18366211E+4	
399.00	5.20539141E+4	
400.00	5.25605313E+4	
401.00	5.24618750E+4	
402.00	5.25838984E+4	
403.00	5.25546055E+4	
404.00	5.26199023E+4	
405.00	5.27818086E+4	
406.00	5.30385820E+4	
407.00	5.31597461E+4	
408.00	5.35306680E+4	
409.00	5.31666016E+4	
410.00	5.20394648E+4	
411.00	5.21677656E+4	
412.00	5.18322305E+4	
413.00	5.17965391E+4	
414.00	5.16437305E+4	
415.00	5.13873359E+4	
416.00	5.11523633E+4	
417.00	5.08474531E+4	
418.00	5.03097070E+4	
419.00	5.01748008E+4	
420.00	4.93732383E+4	
421.00	4.90602109E+4	
422.00	4.84047969E+4	
423.00	4.78333555E+4	
424.00	4.74192148E+4	
425.00	4.66708828E+4	
426.00	4.62067344E+4	
427.00	4.55150781E+4	
428.00	4.47150430E+4	
429.00	4.42229375E+4	
430.00	4.33244023E+4	
431.00	4.25983711E+4	
432.00	4.19767813E+4	
433.00	4.11495508E+4	
434.00	4.02048438E+4	
435.00	3.96734141E+4	
436.00	3.90096602E+4	
437.00	3.80464688E+4	
438.00	3.70912148E+4	
439.00	3.63484531E+4	
440.00	3.53936719E+4	
441.00	3.48279102E+4	
442.00	3.40288477E+4	
443.00	3.31519258E+4	
444.00	3.23575234E+4	
445.00	3.16515195E+4	
446.00	3.09054688E+4	
447.00	3.00117930E+4	
448.00	2.93168848E+4	
449.00	2.84709863E+4	
450.00	2.76427969E+4	
451.00	2.69431445E+4	
452.00	2.59307988E+4	
453.00	2.51165117E+4	
454.00	2.44746895E+4	
455.00	2.38753945E+4	
456.00	2.30787207E+4	
457.00	2.24132930E+4	
458.00	2.17011094E+4	
459.00	2.11174668E+4	
460.00	2.05275898E+4	
461.00	1.98264004E+4	
462.00	1.91636094E+4	
463.00	1.86734492E+4	
464.00	1.80726094E+4	
465.00	1.73493398E+4	
466.00	1.67723945E+4	
467.00	1.62307852E+4	
468.00	1.56776396E+4	
469.00	1.52726455E+4	
470.00	1.48122666E+4	
471.00	1.43563760E+4	
472.00	1.37638721E+4	
473.00	1.32983525E+4	
474.00	1.28535938E+4	
475.00	1.24722900E+4	
476.00	1.20263506E+4	
477.00	1.15736709E+4	
478.00	1.11519736E+4	
479.00	1.07654561E+4	
480.00	1.04326143E+4	
481.00	1.00298818E+4	
482.00	9.54000488E+3	
483.00	9.31706152E+3	
484.00	8.80854980E+3	
485.00	8.64326953E+3	
486.00	8.35058789E+3	
487.00	8.01654834E+3	
488.00	7.67174658E+3	
489.00	7.41852734E+3	
490.00	7.14584668E+3	
491.00	6.86132080E+3	
492.00	6.61499854E+3	
493.00	6.32471777E+3	
494.00	6.20464502E+3	
495.00	5.82926904E+3	
496.00	5.56145068E+3	
497.00	5.47692773E+3	
498.00	5.28104834E+3	
499.00	5.14820703E+3	
500.00	4.81650293E+3	
501.00	4.69636621E+3	
502.00	4.55854834E+3	
503.00	4.31338721E+3	
504.00	4.21300488E+3	
505.00	4.00238965E+3	
506.00	3.85197339E+3	
507.00	3.74713525E+3	
508.00	3.63616479E+3	
509.00	3.38143481E+3	
510.00	3.25239014E+3	
511.00	3.18727515E+3	
512.00	3.10277466E+3	
513.00	2.90734229E+3	
514.00	2.77558716E+3	
515.00	2.71704858E+3	
516.00	2.56889819E+3	
517.00	2.49169434E+3	
518.00	2.41354688E+3	
519.00	2.28167627E+3	
520.00	2.24440747E+3	
521.00	2.16762524E+3	
522.00	2.10432739E+3	
523.00	1.96725134E+3	
524.00	1.91687158E+3	
525.00	1.84384314E+3	
526.00	1.76892493E+3	
527.00	1.75718030E+3	
528.00	1.70104150E+3	
529.00	1.57032288E+3	
530.00	1.44252258E+3	
531.00	1.47115613E+3	
532.00	1.40873645E+3	
533.00	1.33634180E+3	
534.00	1.31216602E+3	
535.00	1.27719702E+3	
536.00	1.23992065E+3	
537.00	1.18407471E+3	
538.00	1.11891785E+3	
539.00	1.11755383E+3	
540.00	1.04603113E+3	
541.00	1.02865845E+3	
542.00	9.80302856E+2	
543.00	8.99708679E+2	
544.00	9.14142456E+2	
545.00	8.75840454E+2	
546.00	8.10300537E+2	
547.00	8.46232544E+2	
548.00	8.06023193E+2	
549.00	8.06514587E+2	
550.00	6.88427124E+2	
