110.60	0.00	0.000
108.55	0.10	0.143
106.90	0.20	0.270
105.60	0.30	0.378
104.50	0.40 	0.470
103.55	0.50	0.560
102.75	0.60	0.650
102.15 	0.70 	0.737
101.65	0.80	0.818
101.20 	0.90	0.906
100.85  1.00  1.000
