?
Axis	Energy	Elements=	951

C:\Users\AG Wittstock\Documents\Iza\06_27.01.2017\PET_03\Polyanalyse.DATA\C1s Scan.VGD





Binding Energy (E)				C1s Scan A	C1s Scan B	C1s Scan C	C1s Scan D	Backgnd.	Envelope	Residuals	
eV		Counts / s  (Residuals × 2)		Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)
292.660		1765.28		1654.32	1654.32	1654.44	1737.99	1654.32	1738.10	27.1740	
292.640		1817.30		1654.22	1654.22	1654.36	1740.51	1654.22	1740.65	76.6519	
292.620		1799.29		1654.12	1654.12	1654.28	1743.12	1654.12	1743.27	56.0175	
292.600		1806.44		1654.02	1654.02	1654.20	1745.80	1654.02	1745.98	60.4520	
292.580		1835.02		1653.91	1653.91	1654.13	1748.56	1653.91	1748.78	86.2374	
292.560		1876.75		1653.80	1653.80	1654.06	1751.41	1653.80	1751.67	125.083	
292.540		1811.01		1653.69	1653.69	1653.99	1754.34	1653.69	1754.64	56.3681	
292.520		1848.17		1653.57	1653.57	1653.92	1757.36	1653.57	1757.71	90.4593	
292.500		1743.27		1653.46	1653.46	1653.86	1760.46	1653.46	1760.87	-17.6019	
292.480		1759.28		1653.34	1653.34	1653.81	1763.66	1653.34	1764.13	-4.85511	
292.460		1866.75		1653.22	1653.22	1653.77	1766.94	1653.22	1767.49	99.2602	
292.440		1840.74		1653.10	1653.10	1653.73	1770.31	1653.10	1770.94	69.7939	
292.420		1828.16		1652.98	1652.98	1653.71	1773.77	1652.98	1774.50	53.6569	
292.400		1841.59		1652.86	1652.86	1653.70	1777.33	1652.86	1778.17	63.4271	
292.380		1915.05		1652.74	1652.74	1653.70	1780.98	1652.74	1781.94	133.116	
292.360		1889.61		1652.62	1652.62	1653.72	1784.71	1652.62	1785.81	103.801	
292.340		1862.46		1652.50	1652.50	1653.75	1788.54	1652.50	1789.80	72.6637	
292.320		1883.04		1652.38	1652.38	1653.80	1792.46	1652.38	1793.89	89.1523	
292.300		1914.48		1652.25	1652.25	1653.87	1796.47	1652.25	1798.09	116.394	
292.280		1827.02		1652.13	1652.13	1653.96	1800.57	1652.13	1802.40	24.6204	
292.260		1724.98		1652.00	1652.00	1654.07	1804.75	1652.00	1806.82	-81.8418	
292.240		1881.90		1651.87	1651.87	1654.20	1809.02	1651.87	1811.35	70.5450	
292.220		1833.88		1651.74	1651.74	1654.36	1813.38	1651.74	1815.99	17.8839	
292.200		1745.27		1651.61	1651.61	1654.54	1817.81	1651.61	1820.74	-75.4743	
292.180		1841.02		1651.47	1651.47	1654.75	1822.33	1651.47	1825.61	15.4126	
292.160		1784.14		1651.34	1651.34	1655.00	1826.93	1651.34	1830.59	-46.4460	
292.140		1762.42		1651.20	1651.20	1655.27	1831.60	1651.20	1835.68	-73.2585	
292.120		1871.61		1651.06	1651.06	1655.59	1836.35	1651.06	1840.88	30.7270	
292.100		1893.33		1650.92	1650.92	1655.94	1841.18	1650.92	1846.19	47.1362	
292.080		1927.63		1650.79	1650.79	1656.33	1846.08	1650.79	1851.62	76.0112	
292.060		1929.63		1650.65	1650.65	1656.76	1851.04	1650.65	1857.15	72.4788	
292.040		1842.45		1650.51	1650.51	1657.23	1856.07	1650.51	1862.79	-20.3382	
292.020		1893.90		1650.37	1650.37	1657.75	1861.16	1650.37	1868.53	25.3676	
292.000		1984.79		1650.23	1650.23	1658.31	1866.30	1650.23	1874.38	110.417	
291.980		1977.08		1650.09	1650.09	1658.91	1871.49	1650.09	1880.31	96.7616	
291.960		1817.01		1649.94	1649.94	1659.56	1876.72	1649.94	1886.35	-69.3334	
291.940		1856.17		1649.79	1649.79	1660.26	1882.00	1649.79	1892.47	-36.2954	
291.920		1954.21		1649.63	1649.63	1661.00	1887.30	1649.63	1898.67	55.5410	
291.900		1880.18		1649.47	1649.47	1661.78	1892.64	1649.47	1904.95	-24.7705	
291.880		1850.45		1649.30	1649.30	1662.61	1898.00	1649.30	1911.31	-60.8521	
291.860		1861.89		1649.13	1649.14	1663.49	1903.38	1649.13	1917.73	-55.8429	
291.840		1866.46		1648.96	1648.96	1664.41	1908.77	1648.96	1924.22	-57.7580	
291.820		1924.20		1648.79	1648.79	1665.38	1914.17	1648.79	1930.77	-6.56693	
291.800		1948.21		1648.61	1648.61	1666.40	1919.58	1648.61	1937.36	10.8450	
291.780		1885.33		1648.44	1648.44	1667.46	1924.98	1648.44	1944.01	-58.6802	
291.760		2052.25		1648.26	1648.26	1668.57	1930.37	1648.26	1950.68	101.565	
291.740		2019.38		1648.07	1648.08	1669.72	1935.74	1648.07	1957.39	61.9895	
291.720		1971.36		1647.89	1647.89	1670.92	1941.08	1647.89	1964.12	7.24464	
291.700		2049.68		1647.70	1647.71	1672.15	1946.40	1647.70	1970.85	78.8255	
291.680		2065.68		1647.51	1647.51	1673.42	1951.67	1647.51	1977.59	88.0961	
291.660		2031.67		1647.31	1647.32	1674.72	1956.90	1647.31	1984.31	47.3578	
291.640		1984.79		1647.11	1647.12	1676.05	1962.07	1647.11	1991.02	-6.22320	
291.620		1987.94		1646.90	1646.91	1677.41	1967.18	1646.90	1997.69	-9.75439	
291.600		2009.38		1646.69	1646.70	1678.80	1972.21	1646.69	2004.33	5.04704	
291.580		2033.67		1646.47	1646.48	1680.21	1977.17	1646.47	2010.92	22.7546	
291.560		1962.79		1646.25	1646.27	1681.64	1982.04	1646.25	2017.45	-54.6605	
291.540		2013.09		1646.03	1646.04	1683.10	1986.83	1646.03	2023.91	-10.8166	
291.520		2041.96		1645.81	1645.82	1684.57	1991.51	1645.81	2030.29	11.6666	
291.500		2089.41		1645.58	1645.60	1686.05	1996.09	1645.58	2036.59	52.8175	
291.480		2115.99		1645.35	1645.37	1687.56	2000.56	1645.35	2042.79	73.1983	
291.460		2057.39		1645.12	1645.14	1689.07	2004.91	1645.12	2048.89	8.50718	
291.440		2173.73		1644.88	1644.91	1690.59	2009.13	1644.88	2054.87	118.859	
291.420		2217.46		1644.65	1644.68	1692.12	2013.22	1644.65	2060.72	156.734	
291.400		2163.44		1644.41	1644.45	1693.66	2017.16	1644.41	2066.45	96.9876	
291.380		2129.99		1644.18	1644.22	1695.20	2020.96	1644.18	2072.03	57.9627	
291.360		2042.53		1643.94	1643.99	1696.74	2024.60	1643.94	2077.46	-34.9324	
291.340		2069.11		1643.69	1643.76	1698.28	2028.08	1643.69	2082.74	-13.6234	
291.320		2086.26		1643.45	1643.52	1699.82	2031.39	1643.45	2087.84	-1.58039	
291.300		2039.10		1643.20	1643.28	1701.36	2034.53	1643.20	2092.78	-53.6768	
291.280		2119.99		1642.95	1643.05	1702.90	2037.49	1642.95	2097.54	22.4548	
291.260		2091.41		1642.70	1642.81	1704.44	2040.26	1642.70	2102.11	-10.7045	
291.240		2067.97		1642.45	1642.58	1705.97	2042.85	1642.45	2106.50	-38.5324	
291.220		2071.97		1642.20	1642.35	1707.51	2045.24	1642.20	2110.70	-38.7295	
291.200		2127.42		1641.95	1642.12	1709.05	2047.44	1641.95	2114.71	12.7170	
291.180		2091.12		1641.70	1641.89	1710.59	2049.43	1641.70	2118.51	-27.3897	
291.160		2111.13		1641.46	1641.67	1712.14	2051.22	1641.46	2122.12	-10.9909	
291.140		2163.72		1641.22	1641.46	1713.70	2052.81	1641.22	2125.53	38.1910	
291.120		2134.85		1640.98	1641.26	1715.26	2054.18	1640.98	2128.74	6.11588	
291.100		2189.45		1640.74	1641.06	1716.83	2055.33	1640.74	2131.74	57.7074	
291.080		2158.29		1640.50	1640.86	1718.41	2056.27	1640.50	2134.54	23.7558	
291.060		2003.37		1640.27	1640.67	1720.01	2056.99	1640.27	2137.13	-133.754	
291.040		1998.23		1640.03	1640.48	1721.61	2057.48	1640.03	2139.51	-141.283	
291.020		2029.95		1639.79	1640.30	1723.23	2057.74	1639.79	2141.69	-111.737	
291.000		2085.41		1639.55	1640.12	1724.86	2057.79	1639.55	2143.67	-58.2682	
290.980		2071.40		1639.31	1639.95	1726.52	2057.60	1639.31	2145.46	-74.0576	
290.960		2010.80		1639.07	1639.79	1728.20	2057.19	1639.07	2147.05	-136.242	
290.940		1954.50		1638.83	1639.64	1729.91	2056.56	1638.83	2148.45	-193.949	
290.920		1947.06		1638.59	1639.49	1731.65	2055.70	1638.59	2149.66	-202.594	
290.900		2122.56		1638.36	1639.36	1733.43	2054.62	1638.36	2150.69	-28.1286	
290.880		2071.40		1638.12	1639.23	1735.24	2053.32	1638.12	2151.55	-80.1500	
290.860		2010.52		1637.88	1639.12	1737.09	2051.79	1637.88	2152.24	-141.722	
290.840		2086.83		1637.65	1639.02	1738.99	2050.06	1637.65	2152.77	-65.9356	
290.820		2145.43		1637.42	1638.94	1740.94	2048.11	1637.42	2153.15	-7.71916	
290.800		2080.26		1637.19	1638.87	1742.94	2045.95	1637.19	2153.38	-73.1215	
290.780		2004.80		1636.96	1638.82	1745.00	2043.58	1636.96	2153.48	-148.674	
290.760		2100.84		1636.73	1638.78	1747.12	2041.00	1636.73	2153.44	-52.5997	
290.740		2079.69		1636.50	1638.76	1749.30	2038.23	1636.50	2153.28	-73.5959	
290.720		2056.25		1636.28	1638.76	1751.56	2035.26	1636.28	2153.02	-96.7716	
290.700		2043.10		1636.06	1638.78	1753.89	2032.11	1636.06	2152.66	-109.560	
290.680		2082.26		1635.83	1638.82	1756.29	2028.77	1635.83	2152.21	-69.9508	
290.660		2084.26		1635.61	1638.87	1758.78	2025.25	1635.61	2151.68	-67.4202	
290.640		2082.83		1635.38	1638.95	1761.35	2021.55	1635.38	2151.09	-68.2521	
290.620		2029.10		1635.16	1639.05	1764.02	2017.68	1635.16	2150.44	-121.339	
290.600		1990.80		1634.94	1639.18	1766.79	2013.66	1634.94	2149.75	-158.952	
290.580		2030.53		1634.72	1639.33	1769.66	2009.47	1634.72	2149.03	-118.505	
290.560		2035.10		1634.49	1639.50	1772.65	2005.14	1634.49	2148.30	-113.202	
290.540		1995.08		1634.27	1639.71	1775.75	2000.67	1634.27	2147.58	-152.492	
290.520		1943.35		1634.06	1639.94	1778.98	1996.06	1634.06	2146.87	-203.520	
290.500		1873.32		1633.84	1640.20	1782.35	1991.32	1633.84	2146.19	-272.873	
290.480		1908.19		1633.63	1640.50	1785.86	1986.47	1633.63	2145.57	-237.379	
290.460		2096.27		1633.42	1640.83	1789.52	1981.51	1633.42	2145.01	-48.7476	
290.440		2005.66		1633.21	1641.18	1793.34	1976.44	1633.21	2144.54	-138.881	
290.420		2010.52		1633.00	1641.57	1797.32	1971.27	1633.00	2144.17	-133.648	
290.400		1978.79		1632.79	1642.00	1801.49	1966.00	1632.79	2143.91	-165.122	
290.380		2033.67		1632.58	1642.46	1805.85	1960.66	1632.58	2143.80	-110.130	
290.360		2031.67		1632.37	1642.95	1810.41	1955.24	1632.37	2143.85	-112.178	
290.340		2034.81		1632.17	1643.47	1815.19	1949.75	1632.17	2144.08	-109.262	
290.320		1993.08		1631.96	1644.03	1820.19	1944.20	1631.96	2144.51	-151.425	
290.300		1951.07		1631.75	1644.63	1825.45	1938.59	1631.75	2145.17	-194.101	
290.280		1917.05		1631.54	1645.26	1830.97	1932.94	1631.54	2146.08	-229.025	
290.260		1917.91		1631.33	1645.92	1836.77	1927.24	1631.33	2147.26	-229.354	
290.240		1917.05		1631.12	1646.62	1842.87	1921.51	1631.12	2148.75	-231.701	
290.220		2045.10		1630.91	1647.34	1849.29	1915.75	1630.91	2150.57	-105.471	
290.200		2066.54		1630.69	1648.10	1856.06	1909.97	1630.69	2152.76	-86.2150	
290.180		1991.08		1630.46	1648.89	1863.20	1904.17	1630.46	2155.34	-164.253	
290.160		2004.23		1630.24	1649.71	1870.74	1898.37	1630.24	2158.34	-154.114	
290.140		2024.81		1630.01	1650.56	1878.71	1892.56	1630.01	2161.82	-137.010	
290.120		2042.25		1629.77	1651.44	1887.15	1886.76	1629.77	2165.80	-123.555	
290.100		2001.94		1629.53	1652.35	1896.09	1880.96	1629.53	2170.33	-168.385	
290.080		1999.66		1629.29	1653.28	1905.57	1875.18	1629.29	2175.45	-175.794	
290.060		2057.97		1629.04	1654.24	1915.64	1869.42	1629.04	2181.22	-123.251	
290.040		2081.40		1628.79	1655.23	1926.34	1863.68	1628.79	2187.68	-106.272	
290.020		2079.12		1628.53	1656.24	1937.72	1857.98	1628.53	2194.88	-115.766	
290.000		2100.55		1628.26	1657.26	1949.85	1852.31	1628.26	2202.90	-102.343	
289.980		2168.58		1627.98	1658.31	1962.77	1846.67	1627.98	2211.78	-43.2007	
289.960		2124.85		1627.69	1659.37	1976.55	1841.07	1627.69	2221.61	-96.7562	
289.940		2204.02		1627.40	1660.45	1991.27	1835.52	1627.40	2232.45	-28.4209	
289.920		2232.04		1627.10	1661.55	2007.00	1830.03	1627.10	2244.38	-12.3434	
289.900		2295.78		1626.79	1662.65	2023.83	1824.58	1626.79	2257.49	38.2868	
289.880		2309.21		1626.46	1663.77	2041.83	1819.19	1626.46	2271.87	37.3438	
289.860		2209.74		1626.13	1664.89	2061.11	1813.86	1626.13	2287.61	-77.8649	
289.840		2219.17		1625.79	1666.02	2081.77	1808.59	1625.78	2304.81	-85.6394	
289.820		2321.50		1625.43	1667.16	2103.91	1803.38	1625.43	2323.59	-2.09471	
289.800		2321.50		1625.06	1668.30	2127.65	1798.24	1625.06	2344.07	-22.5671	
289.780		2370.66		1624.69	1669.44	2153.11	1793.17	1624.69	2366.35	4.31045	
289.760		2425.54		1624.30	1670.58	2180.42	1788.17	1624.30	2390.58	34.9639	
289.740		2430.69		1623.90	1671.72	2209.70	1783.24	1623.89	2416.88	13.8109	
289.720		2435.26		1623.48	1672.85	2241.10	1778.38	1623.47	2445.38	-10.1242	
289.700		2478.13		1623.04	1673.97	2274.76	1773.59	1623.04	2476.25	1.88445	
289.680		2592.75		1622.58	1675.08	2310.83	1768.87	1622.58	2509.62	83.1310	
289.660		2557.31		1622.11	1676.17	2349.46	1764.21	1622.10	2545.65	11.6560	
289.640		2605.04		1621.61	1677.25	2390.83	1759.63	1621.60	2584.51	20.5354	
289.620		2611.33		1621.09	1678.32	2435.08	1755.11	1621.09	2626.35	-15.0148	
289.600		2600.18		1620.55	1679.36	2482.38	1750.67	1620.54	2671.33	-71.1462	
289.580		2610.76		1619.98	1680.37	2532.89	1746.28	1619.97	2719.62	-108.862	
289.560		2654.20		1619.38	1681.36	2586.78	1741.96	1619.37	2771.38	-117.178	
289.540		2705.37		1618.76	1682.32	2644.22	1737.70	1618.74	2826.78	-121.412	
289.520		2865.72		1618.10	1683.25	2705.35	1733.50	1618.07	2885.97	-20.2512	
289.500		3037.79		1617.41	1684.14	2770.33	1729.36	1617.38	2949.10	88.6845	
289.480		3081.23		1616.69	1685.01	2839.31	1725.28	1616.66	3016.32	64.9109	
289.460		3244.73		1615.94	1685.84	2912.41	1721.26	1615.89	3087.76	156.966	
289.440		3326.19		1615.15	1686.64	2989.77	1717.28	1615.10	3163.54	162.649	
289.420		3337.91		1614.32	1687.39	3071.47	1713.36	1614.26	3243.76	94.1456	
289.400		3441.09		1613.46	1688.12	3157.62	1709.49	1613.39	3328.51	112.576	
289.380		3655.18		1612.56	1688.80	3248.27	1705.66	1612.48	3417.86	237.315	
289.360		3810.67		1611.62	1689.44	3343.47	1701.87	1611.52	3511.85	298.822	
289.340		3851.25		1610.64	1690.03	3443.24	1698.13	1610.52	3610.48	240.772	
289.320		3914.71		1609.61	1690.59	3547.55	1694.42	1609.47	3713.76	200.947	
289.300		4043.62		1608.54	1691.10	3656.37	1690.74	1608.37	3821.63	221.983	
289.280		4064.20		1607.42	1691.56	3769.62	1687.09	1607.22	3934.02	130.174	
289.260		4254.27		1606.26	1691.98	3887.19	1683.47	1606.03	4050.82	203.458	
289.240		4306.58		1605.05	1692.36	4008.91	1679.88	1604.78	4171.86	134.721	
289.220		4454.92		1603.81	1692.69	4134.61	1676.32	1603.49	4296.96	157.963	
289.200		4507.80		1602.52	1692.99	4264.04	1672.78	1602.15	4425.89	81.9154	
289.180		4678.44		1601.19	1693.25	4396.92	1669.26	1600.75	4558.36	120.087	
289.160		4936.55		1599.81	1693.47	4532.93	1665.76	1599.31	4694.04	242.501	
289.140		4977.71		1598.40	1693.65	4671.70	1662.27	1597.81	4832.59	145.119	
289.120		5014.58		1596.94	1693.78	4812.81	1658.80	1596.26	4973.57	41.0116	
289.100		5119.19		1595.44	1693.88	4955.82	1655.34	1594.65	5116.53	2.66008	
289.080		5342.99		1593.90	1693.94	5100.22	1651.88	1592.99	5260.99	82.0089	
289.060		5379.58		1592.32	1693.97	5245.48	1648.43	1591.27	5406.40	-26.8161	
289.040		5461.90		1590.71	1693.97	5391.01	1644.99	1589.50	5552.19	-90.2881	
289.020		5522.78		1589.06	1693.93	5536.22	1641.55	1587.67	5697.75	-174.972	
289.000		5623.39		1587.37	1693.86	5680.46	1638.10	1585.78	5842.45	-219.058	
288.980		5780.31		1585.66	1693.76	5823.06	1634.66	1583.84	5985.62	-205.309	
288.960		6085.29		1583.92	1693.63	5963.34	1631.21	1581.84	6126.58	-41.2902	
288.940		6116.16		1582.16	1693.49	6100.59	1627.77	1579.80	6264.63	-148.471	
288.920		6234.49		1580.39	1693.33	6234.11	1624.32	1577.70	6399.06	-164.564	
288.900		6504.32		1578.60	1693.15	6363.16	1620.87	1575.55	6529.15	-24.8323	
288.880		6706.40		1576.81	1692.97	6487.05	1617.42	1573.35	6654.20	52.2000	
288.860		6818.44		1575.02	1692.77	6605.06	1613.97	1571.11	6773.49	44.9468	
288.840		6777.00		1573.23	1692.58	6716.49	1610.52	1568.82	6886.36	-109.359	
288.820		7035.67		1571.46	1692.38	6820.69	1607.06	1566.49	6992.12	43.5530	
288.800		7028.81		1569.69	1692.19	6917.01	1603.60	1564.12	7090.15	-61.3361	
288.780		7316.07		1567.96	1692.01	7004.84	1600.14	1561.70	7179.85	136.220	
288.760		7216.03		1566.25	1691.84	7083.64	1596.68	1559.25	7260.67	-44.6399	
288.740		7216.03		1564.58	1691.70	7152.88	1593.22	1556.76	7332.10	-116.073	
288.720		7264.91		1562.96	1691.57	7212.12	1589.76	1554.24	7393.70	-128.795	
288.700		7444.41		1561.39	1691.48	7260.96	1586.31	1551.69	7445.08	-0.670934	
288.680		7374.66		1559.90	1691.43	7299.07	1582.87	1549.12	7485.91	-111.250	
288.660		7309.21		1558.48	1691.43	7326.19	1579.44	1546.53	7515.95	-206.745	
288.640		7595.90		1557.15	1691.49	7342.13	1576.03	1543.93	7535.01	60.8864	
288.620		7557.02		1555.91	1691.60	7346.75	1572.63	1541.31	7542.97	14.0570	
288.600		7493.00		1554.78	1691.78	7340.03	1569.25	1538.68	7539.79	-46.7959	
288.580		7694.79		1553.77	1692.04	7321.99	1565.89	1536.05	7525.53	169.259	
288.560		7518.72		1552.89	1692.39	7292.75	1562.57	1533.43	7500.30	18.4205	
288.540		7498.14		1552.15	1692.83	7252.48	1559.28	1530.82	7464.29	33.8542	
288.520		7493.28		1551.56	1693.38	7201.43	1556.01	1528.21	7417.75	75.5352	
288.500		7426.11		1551.13	1694.04	7139.93	1552.79	1525.62	7361.02	65.0950	
288.480		7294.63		1550.87	1694.82	7068.35	1549.62	1523.05	7294.49	0.142655	
288.460		7057.11		1550.78	1695.72	6987.15	1546.48	1520.50	7218.61	-161.505	
288.440		6971.07		1550.87	1696.77	6896.82	1543.38	1517.98	7133.90	-162.829	
288.420		7184.59		1551.16	1697.95	6797.91	1540.33	1515.48	7040.92	143.668	
288.400		7281.20		1551.65	1699.29	6691.03	1537.34	1513.01	6940.27	340.929	
288.380		7046.82		1552.34	1700.79	6576.81	1534.39	1510.58	6832.59	214.225	
288.360		6817.30		1553.25	1702.47	6455.92	1531.50	1508.19	6718.57	98.7238	
288.340		6487.45		1554.38	1704.34	6329.03	1528.67	1505.84	6598.91	-111.454	
288.320		6475.73		1555.74	1706.39	6196.87	1525.90	1503.53	6474.31	1.42730	
288.300		6547.76		1557.33	1708.66	6060.16	1523.19	1501.28	6345.51	202.255	
288.280		6185.33		1559.15	1711.15	5919.61	1520.56	1499.08	6213.24	-27.9060	
288.260		6119.30		1561.22	1713.86	5775.94	1517.98	1496.93	6078.22	41.0845	
288.240		6061.00		1563.52	1716.81	5629.86	1515.48	1494.83	5941.18	119.820	
288.220		5906.93		1566.05	1720.01	5482.06	1513.04	1492.79	5802.81	104.124	
288.200		5812.61		1568.83	1723.48	5333.23	1510.67	1490.80	5663.81	148.806	
288.180		5629.11		1571.84	1727.21	5184.00	1508.36	1488.87	5524.81	104.296	
288.160		5376.72		1575.08	1731.23	5034.99	1506.12	1486.98	5386.46	-9.73861	
288.140		5216.09		1578.55	1735.55	4886.79	1503.94	1485.16	5249.35	-33.2636	
288.120		5225.80		1582.25	1740.18	4739.96	1501.84	1483.40	5114.04	111.761	
288.100		4964.56		1586.17	1745.16	4595.00	1499.81	1481.69	4981.06	-16.5014	
288.080		4693.02		1590.32	1750.48	4452.38	1497.84	1480.05	4850.87	-157.850	
288.060		4559.82		1594.67	1756.16	4312.51	1495.94	1478.46	4723.91	-164.085	
288.040		4663.58		1599.22	1762.22	4175.78	1494.10	1476.92	4600.57	63.0130	
288.020		4491.23		1603.97	1768.68	4042.52	1492.32	1475.44	4481.19	10.0314	
288.000		4257.13		1608.90	1775.56	3913.02	1490.60	1474.00	4366.09	-108.957	
287.980		4125.65		1614.01	1782.88	3787.53	1488.94	1472.62	4255.52	-129.867	
287.960		4167.67		1619.29	1790.67	3666.25	1487.34	1471.29	4149.70	17.9648	
287.940		4072.77		1624.74	1798.96	3549.35	1485.80	1470.01	4048.82	23.9471	
287.920		3957.58		1630.33	1807.76	3436.95	1484.31	1468.78	3953.03	4.55794	
287.900		3760.65		1636.06	1817.11	3329.13	1482.88	1467.59	3862.41	-101.760	
287.880		3652.89		1641.92	1827.03	3225.93	1481.49	1466.44	3777.04	-124.151	
287.860		3578.86		1647.90	1837.55	3127.39	1480.14	1465.33	3696.97	-118.112	
287.840		3420.80		1653.98	1848.71	3033.48	1478.84	1464.26	3622.22	-201.423	
287.820		3523.70		1660.16	1860.55	2944.17	1477.58	1463.23	3552.77	-29.0753	
287.800		3463.10		1666.42	1873.10	2859.38	1476.36	1462.22	3488.59	-25.4909	
287.780		3454.24		1672.76	1886.40	2779.04	1475.17	1461.25	3429.63	24.6082	
287.760		3269.02		1679.17	1900.50	2703.05	1474.01	1460.30	3375.83	-106.810	
287.740		3036.36		1685.63	1915.44	2631.28	1472.88	1459.38	3327.11	-290.755	
287.720		3002.63		1692.15	1931.27	2563.60	1471.79	1458.48	3283.38	-280.752	
287.700		3096.95		1698.71	1948.04	2499.86	1470.71	1457.59	3244.54	-147.588	
287.680		3180.99		1705.30	1965.81	2439.91	1469.66	1456.73	3210.49	-29.5042	
287.660		3151.26		1711.92	1984.63	2383.60	1468.63	1455.88	3181.13	-29.8664	
287.640		3071.51		1718.56	2004.57	2330.75	1467.61	1455.05	3156.34	-84.8293	
287.620		2961.18		1725.22	2025.68	2281.20	1466.61	1454.23	3136.03	-174.850	
287.600		3045.79		1731.90	2048.04	2234.78	1465.63	1453.42	3120.09	-74.3045	
287.580		3069.51		1738.58	2071.70	2191.32	1464.65	1452.61	3108.43	-38.9129	
287.560		3024.92		1745.27	2096.74	2150.66	1463.69	1451.81	3100.93	-76.0101	
287.540		2910.88		1751.96	2123.24	2112.63	1462.72	1451.01	3097.53	-186.655	
287.520		3034.07		1758.65	2151.27	2077.07	1461.76	1450.20	3098.14	-64.0685	
287.500		3000.63		1765.34	2180.90	2043.82	1460.80	1449.39	3102.68	-102.053	
287.480		3108.10		1772.03	2212.23	2012.75	1459.84	1448.58	3111.10	-2.99565	
287.460		3131.54		1778.72	2245.32	1983.69	1458.86	1447.76	3123.32	8.21879	
287.440		3142.11		1785.41	2280.26	1956.51	1457.88	1446.92	3139.31	2.80893	
287.420		3100.95		1792.10	2317.15	1931.08	1456.88	1446.06	3159.02	-58.0634	
287.400		3116.68		1798.79	2356.07	1907.28	1455.88	1445.20	3182.43	-65.7555	
287.380		3183.56		1805.51	2397.11	1885.00	1454.86	1444.32	3209.52	-25.9632	
287.360		3179.84		1812.24	2440.37	1864.11	1453.84	1443.43	3240.28	-60.4356	
287.340		3272.17		1819.00	2485.93	1844.53	1452.80	1442.52	3274.69	-2.52656	
287.320		3346.48		1825.78	2533.87	1826.15	1451.75	1441.60	3312.76	33.7189	
287.300		3599.44		1832.61	2584.29	1808.87	1450.68	1440.65	3354.49	244.951	
287.280		3558.85		1839.47	2637.27	1792.62	1449.59	1439.69	3399.88	158.971	
287.260		3585.15		1846.37	2692.88	1777.30	1448.47	1438.69	3448.95	136.199	
287.240		3744.64		1853.33	2751.21	1762.84	1447.33	1437.67	3501.71	242.933	
287.220		3838.11		1860.35	2812.34	1749.18	1446.16	1436.62	3558.17	279.933	
287.200		3796.09		1867.44	2876.32	1736.25	1444.96	1435.54	3618.37	177.723	
287.180		3841.25		1874.61	2943.23	1724.00	1443.74	1434.42	3682.30	158.948	
287.160		3816.67		1881.86	3013.12	1712.36	1442.48	1433.27	3750.00	66.6729	
287.140		3778.94		1889.21	3086.04	1701.29	1441.18	1432.09	3821.46	-42.5216	
287.120		3784.09		1896.66	3162.04	1690.74	1439.85	1430.87	3896.70	-112.619	
287.100		3902.42		1904.23	3241.15	1680.67	1438.49	1429.60	3975.73	-73.3077	
287.080		4255.13		1911.92	3323.38	1671.03	1437.07	1428.30	4058.52	196.610	
287.060		4254.56		1919.74	3408.75	1661.80	1435.62	1426.94	4145.08	109.481	
287.040		4356.03		1927.72	3497.26	1652.93	1434.13	1425.55	4235.38	120.646	
287.020		4613.56		1935.85	3588.89	1644.40	1432.59	1424.11	4329.40	284.158	
287.000		4628.14		1944.16	3683.63	1636.19	1431.01	1422.63	4427.10	201.038	
286.980		4800.49		1952.65	3781.43	1628.26	1429.39	1421.10	4528.42	272.074	
286.960		4873.66		1961.34	3882.22	1620.59	1427.72	1419.53	4633.29	240.371	
286.940		4991.14		1970.24	3985.95	1613.17	1426.01	1417.91	4741.64	249.495	
286.920		5024.01		1979.37	4092.51	1605.97	1424.25	1416.24	4853.38	170.631	
286.900		5240.38		1988.75	4201.80	1598.97	1422.44	1414.53	4968.38	271.999	
286.880		5370.72		1998.38	4313.69	1592.16	1420.59	1412.76	5086.53	284.189	
286.860		5672.27		2008.28	4428.02	1585.51	1418.68	1410.94	5207.67	464.598	
286.840		5695.71		2018.46	4544.64	1579.00	1416.71	1409.05	5331.64	364.064	
286.820		5708.00		2028.93	4663.35	1572.63	1414.67	1407.11	5458.26	249.734	
286.800		5981.82		2039.72	4783.96	1566.37	1412.58	1405.10	5587.34	394.477	
286.780		5892.07		2050.85	4906.25	1560.23	1410.43	1403.03	5718.67	173.397	
286.760		6137.03		2062.33	5029.98	1554.18	1408.21	1400.89	5852.02	285.004	
286.740		6274.80		2074.20	5154.88	1548.23	1405.93	1398.70	5987.15	287.647	
286.720		6310.52		2086.47	5280.70	1542.35	1403.60	1396.45	6123.79	186.731	
286.700		6395.42		2099.18	5407.14	1536.56	1401.21	1394.14	6261.68	133.734	
286.680		6447.72		2112.35	5533.88	1530.84	1398.77	1391.77	6400.53	47.1958	
286.660		6608.07		2126.01	5660.62	1525.18	1396.27	1389.35	6540.02	68.0506	
286.640		6947.06		2140.18	5786.99	1519.57	1393.71	1386.86	6679.85	267.217	
286.620		7051.96		2154.90	5912.66	1514.00	1391.09	1384.32	6819.68	232.281	
286.600		7503.86		2170.20	6037.26	1508.49	1388.41	1381.72	6959.19	544.664	
