?
Axis	Energy	Elements=	951

C:\Users\AG Wittstock\Documents\Iza\06_27.01.2017\PET_03\Polyanalyse.DATA\C1s Scan.VGD





Binding Energy (E)				C1s Scan A	C1s Scan B	C1s Scan C	C1s Scan D	Backgnd.	Envelope	Residuals	
eV		Counts / s  (Residuals × 2)		Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)
296.720		1742.70		1844.37	1844.37	1844.37	1846.50	1844.37	1846.50	-103.807	
296.700		1825.30		1844.35	1844.35	1844.35	1846.54	1844.35	1846.54	-21.2358	
296.680		1873.32		1843.67	1843.67	1843.67	1845.92	1843.67	1845.92	27.3996	
296.660		1905.91		1843.37	1843.37	1843.37	1845.69	1843.37	1845.69	60.2196	
296.640		1797.29		1842.92	1842.92	1842.92	1845.29	1842.92	1845.29	-48.0018	
296.620		1921.34		1841.93	1841.93	1841.93	1844.37	1841.93	1844.37	76.9744	
296.600		1875.04		1841.19	1841.19	1841.19	1843.68	1841.19	1843.68	31.3520	
296.580		1792.15		1841.15	1841.15	1841.15	1843.71	1841.15	1843.71	-51.5628	
296.560		1827.30		1840.84	1840.84	1840.84	1843.46	1840.84	1843.46	-16.1611	
296.540		1783.00		1840.71	1840.71	1840.71	1843.40	1840.71	1843.40	-60.4006	
296.520		1793.00		1840.57	1840.57	1840.57	1843.32	1840.57	1843.32	-50.3194	
296.500		1798.15		1840.40	1840.40	1840.40	1843.22	1840.40	1843.22	-45.0685	
296.480		1785.00		1840.21	1840.21	1840.21	1843.09	1840.21	1843.09	-58.0888	
296.460		1876.46		1840.04	1840.04	1840.04	1842.99	1840.04	1842.99	33.4767	
296.440		1853.31		1839.76	1839.76	1839.76	1842.77	1839.76	1842.77	10.5446	
296.420		1898.47		1839.41	1839.41	1839.41	1842.49	1839.41	1842.49	55.9849	
296.400		1979.36		1839.05	1839.05	1839.05	1842.20	1839.05	1842.20	137.165	
296.380		1910.48		1838.68	1838.68	1838.68	1841.89	1838.68	1841.89	68.5883	
296.360		1799.01		1838.08	1838.08	1838.08	1841.36	1838.08	1841.36	-42.3508	
296.340		1841.31		1837.52	1837.52	1837.52	1840.87	1837.52	1840.87	0.441822	
296.320		1825.87		1837.05	1837.05	1837.05	1840.46	1837.05	1840.46	-14.5844	
