?
Axis	Energy	Elements=	1001

C:\Users\AG Wittstock\Documents\Iza\06_27.01.2017\PET_03\Polyanalyse.DATA\O1s Scan.VGD





Binding Energy (E)				O1s Scan A	O1s Scan B	Backgnd.	Envelope	Residuals	
eV		Counts / s  (Residuals × 2)		Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)
543.300		4281.14		4159.56	4159.56	4159.56	4159.56	121.581	
543.280		4152.80		4154.83	4154.83	4154.83	4154.83	-2.02144	
543.260		4115.93		4149.49	4149.49	4149.49	4149.49	-33.5541	
543.240		4247.13		4143.67	4143.67	4143.67	4143.67	103.455	
543.220		4226.55		4137.64	4137.64	4137.64	4137.64	88.9113	
543.200		4320.87		4131.44	4131.44	4131.44	4131.44	189.427	
543.180		4418.05		4125.52	4125.52	4125.52	4125.52	292.538	
543.160		4210.26		4119.64	4119.64	4119.64	4119.64	90.6193	
543.140		4167.38		4113.64	4113.64	4113.64	4113.64	53.7433	
543.120		4098.78		4107.51	4107.51	4107.51	4107.51	-8.72393	
543.100		4176.53		4101.70	4101.70	4101.70	4101.70	74.8239	
543.080		4032.18		4096.26	4096.26	4096.26	4096.26	-64.0746	
543.060		4159.95		4090.55	4090.55	4090.55	4090.55	69.4014	
543.040		4249.41		4084.81	4084.81	4084.81	4084.81	164.600	
543.020		4209.97		4079.00	4079.00	4079.00	4079.00	130.973	
543.000		4171.38		4073.05	4073.05	4073.05	4073.05	98.3322	
542.980		4038.76		4067.01	4067.01	4067.01	4067.01	-28.2467	
542.960		3931.00		4061.64	4061.64	4061.64	4061.64	-130.635	
542.940		4057.34		4056.83	4056.83	4056.83	4056.83	0.503370	
542.920		4130.80		4052.27	4052.27	4052.27	4052.27	78.5292	
542.900		4123.65		4048.02	4048.02	4048.02	4048.02	75.6247	
542.880		4036.47		4043.99	4043.99	4043.99	4043.99	-7.51619	
542.860		4046.19		4040.61	4040.61	4040.61	4040.61	5.57712	
542.840		4103.36		4037.54	4037.54	4037.54	4037.54	65.8121	
542.820		4112.22		4034.71	4034.71	4034.71	4034.71	77.5092	
542.800		4176.53		4032.10	4032.10	4032.10	4032.10	144.428	
542.780		4062.20		4029.51	4029.51	4029.51	4029.51	32.6887	
542.760		4014.75		4027.13	4027.13	4027.13	4027.13	-12.3856	
542.740		3888.98		4024.74	4024.74	4024.74	4024.74	-135.752	
542.720		3917.28		4022.80	4022.80	4022.80	4022.80	-105.514	
542.700		4131.65		4020.93	4020.93	4020.93	4020.93	110.718	
542.680		4203.11		4018.68	4018.68	4018.68	4018.68	184.432	
542.660		4041.90		4016.52	4016.52	4016.52	4016.52	25.3874	
542.640		3852.11		4014.14	4014.14	4014.14	4014.14	-162.023	
542.620		3912.71		4011.65	4011.65	4011.65	4011.65	-98.9467	
542.600		4020.18		4009.08	4009.08	4009.08	4009.08	11.0992	
542.580		3881.27		4006.13	4006.13	4006.13	4006.13	-124.865	
542.560		4083.92		4003.28	4003.28	4003.28	4003.28	80.6395	
542.540		4106.50		4000.66	4000.66	4000.66	4000.66	105.835	
542.520		4151.66		3998.79	3998.79	3998.79	3998.79	152.873	
542.500		3953.30		3997.10	3997.10	3997.10	3997.10	-43.8070	
542.480		3953.30		3994.94	3994.94	3994.94	3994.94	-41.6471	
542.460		4004.17		3992.13	3992.13	3992.13	3992.13	12.0436	
542.440		3962.44		3988.89	3988.89	3988.89	3988.89	-26.4436	
542.420		4139.94		3985.93	3985.93	3985.93	3985.93	154.013	
542.400		4091.06		3983.27	3983.27	3983.27	3983.27	107.795	
542.380		4000.17		3980.67	3980.67	3980.67	3980.67	19.4989	
542.360		4101.07		3978.00	3978.00	3978.00	3978.00	123.069	
542.340		3997.03		3974.94	3974.94	3974.94	3974.94	22.0863	
542.320		3961.58		3971.96	3971.96	3971.96	3971.96	-10.3796	
542.300		3864.69		3968.50	3968.50	3968.50	3968.50	-103.814	
542.280		3943.86		3964.97	3964.97	3964.97	3964.97	-21.1081	
542.260		4119.65		3961.81	3961.81	3961.81	3961.81	157.835	
542.240		4045.05		3959.19	3959.19	3959.19	3959.19	85.8613	
542.220		3989.02		3956.44	3956.44	3956.44	3956.44	32.5824	
542.200		3959.87		3953.48	3953.48	3953.48	3953.48	6.38548	
542.180		4033.04		3950.36	3950.36	3950.36	3950.36	82.6821	
542.160		3955.30		3947.33	3947.33	3947.33	3947.33	7.96195	
542.140		3812.38		3944.39	3944.39	3944.39	3944.39	-132.011	
542.120		3975.02		3941.26	3941.26	3941.26	3941.26	33.7548	
542.100		3921.57		3938.12	3938.12	3938.12	3938.12	-16.5465	
542.080		3971.87		3935.52	3935.52	3935.52	3935.52	36.3580	
542.060		4029.90		3933.16	3933.16	3933.16	3933.16	96.7334	
542.040		3906.13		3930.80	3930.80	3930.80	3930.80	-24.6653	
542.020		3905.85		3927.66	3927.66	3927.66	3927.66	-21.8148	
542.000		3931.00		3924.17	3924.17	3924.17	3924.17	6.83474	
541.980		3961.87		3921.38	3921.38	3921.38	3921.38	40.4871	
541.960		3994.17		3918.88	3918.88	3918.88	3918.88	75.2848	
541.940		3862.40		3916.64	3916.64	3916.64	3916.64	-54.2410	
541.920		4047.33		3914.54	3914.54	3914.54	3914.54	132.791	
541.900		4090.49		3912.86	3912.86	3912.86	3912.86	177.638	
541.880		3941.29		3911.70	3911.70	3911.70	3911.70	29.5938	
541.860		3854.68		3910.18	3910.18	3910.18	3910.18	-55.4922	
541.840		3860.97		3908.44	3908.44	3908.44	3908.44	-47.4695	
541.820		3915.85		3906.37	3906.37	3906.37	3906.37	9.47730	
541.800		4069.63		3905.02	3905.02	3905.02	3905.02	164.613	
541.780		4000.74		3903.78	3903.78	3903.78	3903.78	96.9637	
541.760		3816.67		3902.38	3902.38	3902.38	3902.38	-85.7073	
541.740		3896.99		3900.62	3900.62	3900.62	3900.62	-3.63048	
541.720		3854.97		3898.99	3898.99	3898.99	3898.99	-44.0181	
541.700		3869.55		3897.65	3897.65	3897.65	3897.65	-28.1063	
541.680		3855.54		3896.77	3896.77	3896.77	3896.77	-41.2278	
541.660		3747.50		3896.06	3896.06	3896.06	3896.06	-148.565	
541.640		3907.56		3895.89	3895.89	3895.89	3895.89	11.6732	
541.620		4015.89		3895.89	3895.89	3895.89	3895.89	120.003	
541.600		3998.46		3895.88	3895.88	3895.88	3895.88	102.581	
541.580		3699.77		3895.81	3895.81	3895.81	3895.81	-196.049	
541.560		3963.30		3895.73	3895.73	3895.73	3895.73	67.5659	
541.540		3937.86		3895.62	3895.62	3895.62	3895.62	42.2419	
541.520		3997.60		3895.59	3895.59	3895.59	3895.59	102.011	
541.500		3856.69		3895.56	3895.56	3895.56	3895.56	-38.8736	
541.480		3835.82		3895.55	3895.55	3895.55	3895.55	-59.7267	
541.460		3822.10		3895.54	3895.54	3895.54	3895.54	-73.4386	
541.440		3788.09		3895.49	3895.49	3895.49	3895.49	-107.406	
541.420		3859.83		3895.47	3895.47	3895.47	3895.47	-35.6424	
541.400		4029.90		3895.39	3895.39	3895.39	3895.39	134.513	
541.380		3974.45		3895.21	3895.21	3895.21	3895.21	79.2387	
541.360		3965.30		3895.00	3895.00	3895.00	3895.00	70.3046	
541.340		3906.71		3894.82	3894.82	3894.82	3894.82	11.8856	
541.320		3995.03		3894.75	3894.75	3894.75	3894.75	100.279	
541.300		3866.69		3894.56	3894.56	3894.56	3894.56	-27.8739	
541.280		3996.74		3894.34	3894.34	3894.34	3894.34	102.402	
541.260		3776.08		3894.11	3894.11	3894.11	3894.11	-118.025	
541.240		3867.26		3893.88	3893.88	3893.88	3893.88	-26.6238	
541.220		3927.29		3893.64	3893.64	3893.64	3893.64	33.6465	
541.200		3820.39		3893.31	3893.31	3893.31	3893.31	-72.9270	
541.180		3981.88		3892.92	3892.92	3892.92	3892.92	88.9612	
541.160		3919.57		3892.41	3892.41	3892.41	3892.41	27.1588	
541.140		3971.59		3891.87	3891.87	3891.87	3891.87	79.7222	
541.120		3939.86		3891.33	3891.33	3891.33	3891.33	48.5332	
541.100		3793.80		3890.86	3890.86	3890.86	3890.86	-97.0558	
541.080		3913.28		3890.49	3890.49	3890.49	3890.49	22.7859	
541.060		4036.19		3890.15	3890.15	3890.15	3890.15	146.040	
541.040		3949.58		3889.85	3889.85	3889.85	3889.85	59.7286	
541.020		3970.16		3889.50	3889.50	3889.50	3889.50	80.6575	
541.000		3898.70		3889.21	3889.21	3889.21	3889.21	9.49428	
540.980		3985.31		3888.82	3888.82	3888.82	3888.82	96.4858	
540.960		3947.29		3888.43	3888.43	3888.43	3888.43	58.8672	
540.940		3998.17		3888.07	3888.07	3888.07	3888.07	110.105	
540.920		3914.42		3887.66	3887.66	3887.66	3887.66	26.7631	
540.900		4008.46		3887.25	3887.25	3887.25	3887.25	121.207	
540.880		3829.25		3886.78	3886.78	3886.78	3886.78	-57.5370	
540.860		3752.36		3886.37	3886.37	3886.37	3886.37	-134.015	
540.840		3864.97		3886.10	3886.10	3886.10	3886.10	-21.1282	
540.820		3882.70		3885.85	3885.85	3885.85	3885.85	-3.15831	
540.800		3966.16		3885.58	3885.58	3885.58	3885.58	80.5765	
540.780		3881.27		3885.35	3885.35	3885.35	3885.35	-4.08471	
540.760		3946.72		3885.15	3885.15	3885.15	3885.15	61.5755	
540.740		3879.84		3884.92	3884.92	3884.92	3884.92	-5.08316	
540.720		3848.40		3884.70	3884.70	3884.70	3884.70	-36.3059	
540.700		3899.56		3884.54	3884.54	3884.54	3884.54	15.0215	
540.680		3974.73		3884.41	3884.41	3884.41	3884.41	90.3228	
540.660		4033.04		3884.38	3884.38	3884.38	3884.38	148.658	
540.640		3843.54		3884.37	3884.37	3884.37	3884.37	-40.8278	
540.620		3661.18		3884.24	3884.24	3884.24	3884.24	-223.065	
540.600		3744.93		3884.06	3884.06	3884.06	3884.06	-139.133	
540.580		3954.72		3883.79	3883.79	3883.79	3883.79	70.9360	
540.560		3946.72		3883.51	3883.51	3883.51	3883.51	63.2164	
540.540		3896.99		3883.21	3883.21	3883.21	3883.21	13.7788	
540.520		4003.89		3882.92	3882.92	3882.92	3882.92	120.964	
540.500		3880.41		3882.64	3882.64	3882.64	3882.64	-2.22638	
540.480		3874.98		3882.37	3882.37	3882.37	3882.37	-7.39630	
540.460		3874.41		3882.10	3882.10	3882.10	3882.10	-7.68852	
540.440		3796.38		3881.77	3881.77	3881.77	3881.77	-85.3953	
540.420		3900.99		3881.41	3881.41	3881.41	3881.41	19.5823	
540.400		3971.02		3881.02	3881.02	3881.02	3881.02	89.9936	
540.380		3980.16		3880.63	3880.63	3880.63	3880.63	99.5323	
540.360		3954.72		3880.17	3880.17	3880.17	3880.17	74.5581	
