?
Axis	Energy	Elements=	1001

C:\Users\AG Wittstock\Documents\Iza\06_27.01.2017\PET_03\Polyanalyse.DATA\O1s Scan.VGD





Binding Energy (E)				O1s Scan A	O1s Scan B	Backgnd.	Envelope	Residuals	
eV		Counts / s  (Residuals × 2)		Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)
537.460		3870.12		3581.29	3664.67	3581.29	3664.67	205.450	
537.440		3759.50		3579.06	3665.32	3579.06	3665.32	94.1866	
537.420		3781.80		3576.99	3666.16	3576.99	3666.16	115.638	
537.400		3624.02		3575.03	3667.14	3575.03	3667.14	-43.1232	
537.380		3628.02		3573.14	3668.23	3573.14	3668.23	-40.2041	
537.360		3800.38		3571.31	3669.40	3571.31	3669.40	130.978	
537.340		3862.69		3569.51	3670.63	3569.51	3670.63	192.061	
537.320		3739.78		3567.77	3671.93	3567.77	3671.93	67.8474	
537.300		3599.73		3566.07	3673.31	3566.07	3673.31	-73.5865	
537.280		3747.21		3564.43	3674.76	3564.43	3674.76	72.4530	
537.260		3743.50		3562.79	3676.23	3562.79	3676.23	67.2666	
537.240		3696.05		3561.12	3677.68	3561.12	3677.68	18.3666	
537.220		3740.35		3559.43	3679.14	3559.43	3679.14	61.2150	
537.200		3564.28		3557.80	3680.66	3557.80	3680.66	-116.379	
537.180		3665.47		3556.25	3682.27	3556.25	3682.27	-16.8046	
537.160		3666.32		3554.78	3683.97	3554.78	3683.97	-17.6459	
537.140		3653.75		3553.42	3685.79	3553.42	3685.79	-32.0430	
537.120		3795.52		3552.02	3687.58	3552.02	3687.58	107.939	
537.100		3818.10		3550.63	3689.37	3550.63	3689.38	128.724	
537.080		3724.63		3549.33	3691.27	3549.33	3691.28	33.3577	
537.060		3712.91		3548.16	3693.30	3548.16	3693.30	19.6156	
537.040		3674.04		3547.05	3695.39	3547.05	3695.39	-21.3531	
537.020		3810.67		3545.96	3697.51	3545.96	3697.51	113.158	
537.000		3727.78		3544.92	3699.67	3544.92	3699.67	28.1059	
536.980		3583.72		3543.95	3701.90	3543.94	3701.90	-118.178	
536.960		3646.03		3542.99	3704.14	3542.99	3704.14	-58.1140	
536.940		3523.41		3542.05	3706.41	3542.05	3706.41	-182.999	
536.920		3462.24		3541.07	3708.63	3541.06	3708.63	-246.388	
536.900		3692.91		3540.11	3710.88	3540.11	3710.88	-17.9746	
536.880		3592.29		3539.20	3713.17	3539.20	3713.17	-120.880	
536.860		3519.41		3538.32	3715.49	3538.31	3715.50	-196.092	
536.840		3532.56		3537.55	3717.93	3537.55	3717.94	-185.385	
536.820		3536.56		3536.88	3720.47	3536.87	3720.48	-183.918	
536.800		3532.27		3536.26	3723.06	3536.25	3723.07	-190.797	
536.780		3610.30		3535.71	3725.73	3535.70	3725.74	-115.442	
536.760		3560.57		3535.31	3728.54	3535.29	3728.56	-167.989	
536.740		3623.45		3535.01	3731.47	3535.00	3731.49	-108.039	
536.720		3677.19		3534.75	3734.45	3534.74	3734.47	-57.2833	
536.700		3653.18		3534.51	3737.45	3534.49	3737.47	-84.2952	
536.680		3572.29		3534.33	3740.52	3534.30	3740.54	-168.256	
536.660		3539.42		3534.14	3743.59	3534.11	3743.62	-204.202	
536.640		3557.71		3533.91	3746.64	3533.88	3746.67	-188.964	
536.620		3487.97		3533.73	3749.74	3533.68	3749.78	-261.818	
536.600		3574.86		3533.53	3752.85	3533.48	3752.90	-178.041	
536.580		3572.29		3533.35	3756.00	3533.29	3756.06	-183.771	
536.560		3498.54		3533.24	3759.23	3533.17	3759.30	-260.762	
536.540		3329.62		3533.12	3762.48	3533.04	3762.56	-432.946	
536.520		3517.41		3533.00	3765.76	3532.91	3765.85	-248.445	
536.500		3622.31		3532.93	3769.10	3532.82	3769.21	-146.904	
536.480		3545.13		3532.84	3772.45	3532.71	3772.58	-227.451	
536.460		3494.25		3532.78	3775.87	3532.63	3776.03	-281.770	
536.440		3541.99		3532.80	3779.41	3532.62	3779.58	-237.594	
536.420		3546.56		3532.81	3782.96	3532.61	3783.17	-236.607	
536.400		3587.15		3532.83	3786.56	3532.59	3786.80	-199.649	
536.380		3626.59		3532.85	3790.20	3532.57	3790.48	-163.882	
536.360		3460.53		3532.87	3793.89	3532.55	3794.20	-333.677	
536.340		3361.92		3532.90	3797.62	3532.53	3797.99	-436.071	
536.320		3569.43		3532.93	3801.41	3532.51	3801.83	-232.401	
536.300		3523.70		3532.97	3805.25	3532.49	3805.73	-282.038	
536.280		3513.12		3533.02	3809.15	3532.47	3809.70	-296.584	
536.260		3601.73		3533.07	3813.11	3532.44	3813.74	-212.014	
536.240		3541.13		3533.13	3817.13	3532.41	3817.85	-276.719	
536.220		3482.54		3533.20	3821.22	3532.38	3822.04	-339.500	
536.200		3647.46		3533.28	3825.37	3532.35	3826.30	-178.844	
536.180		3728.63		3533.37	3829.60	3532.31	3830.66	-102.022	
536.160		3639.74		3533.47	3833.91	3532.27	3835.10	-195.359	
536.140		3603.73		3533.59	3838.29	3532.24	3839.64	-235.916	
536.120		3542.85		3533.72	3842.76	3532.20	3844.29	-301.442	
536.100		3630.31		3533.87	3847.33	3532.16	3849.04	-218.733	
536.080		3565.43		3534.05	3851.98	3532.12	3853.91	-288.482	
536.060		3635.45		3534.24	3856.72	3532.07	3858.89	-223.435	
536.040		3653.46		3534.45	3861.57	3532.03	3863.99	-210.534	
536.020		3722.35		3534.69	3866.51	3531.98	3869.23	-146.885	
536.000		3791.52		3534.96	3871.57	3531.92	3874.60	-83.0857	
535.980		3730.35		3535.25	3876.73	3531.87	3880.12	-149.768	
535.960		3735.49		3535.58	3882.02	3531.81	3885.78	-150.288	
535.940		3697.76		3535.94	3887.42	3531.76	3891.60	-193.840	
535.920		3594.01		3536.33	3892.96	3531.70	3897.59	-303.585	
535.900		3577.72		3536.77	3898.62	3531.64	3903.76	-326.040	
535.880		3636.03		3537.25	3904.42	3531.58	3910.10	-274.072	
535.860		3609.73		3537.77	3910.37	3531.51	3916.63	-306.899	
535.840		3755.50		3538.34	3916.46	3531.44	3923.36	-167.854	
535.820		3729.78		3538.96	3922.71	3531.38	3930.29	-200.513	
535.800		3673.18		3539.63	3929.12	3531.30	3937.44	-264.254	
535.780		3737.21		3540.35	3935.69	3531.23	3944.81	-207.599	
535.760		3789.80		3541.13	3942.43	3531.15	3952.41	-162.608	
535.740		3688.62		3541.96	3949.36	3531.06	3960.25	-271.635	
535.720		3613.73		3542.86	3956.46	3530.97	3968.35	-354.618	
535.700		3679.19		3543.82	3963.77	3530.88	3976.71	-297.521	
535.680		3807.81		3544.85	3971.28	3530.79	3985.34	-177.534	
535.660		3940.72		3545.95	3979.01	3530.69	3994.27	-53.5462	
535.640		3756.36		3547.12	3986.95	3530.59	4003.48	-247.124	
535.620		3674.90		3548.37	3995.13	3530.48	4013.01	-338.113	
535.600		3809.24		3549.69	4003.55	3530.38	4022.86	-213.625	
535.580		3865.83		3551.09	4012.23	3530.27	4033.05	-167.216	
535.560		3913.28		3552.57	4021.17	3530.15	4043.58	-130.301	
535.540		4005.03		3554.13	4030.38	3530.04	4054.47	-49.4441	
535.520		4127.65		3555.77	4039.88	3529.91	4065.74	61.9088	
535.500		4132.51		3557.50	4049.69	3529.79	4077.40	55.1127	
535.480		4077.35		3559.31	4059.81	3529.66	4089.46	-12.1108	
535.460		3827.25		3561.20	4070.25	3529.52	4101.93	-274.688	
535.440		3832.68		3563.17	4081.05	3529.37	4114.84	-282.168	
535.420		4014.75		3565.23	4092.20	3529.23	4128.21	-113.457	
535.400		3828.67		3567.37	4103.74	3529.07	4142.04	-313.364	
535.380		3791.52		3569.59	4115.68	3528.92	4156.36	-364.844	
535.360		3980.45		3571.90	4128.05	3528.76	4171.19	-190.742	
535.340		3977.88		3574.29	4140.85	3528.59	4186.55	-208.670	
535.320		3993.03		3576.76	4154.11	3528.43	4202.45	-209.425	
535.300		4095.07		3579.31	4167.87	3528.25	4218.93	-123.859	
535.280		4169.38		3581.94	4182.13	3528.07	4235.99	-66.6108	
535.260		4177.10		3584.63	4196.94	3527.89	4253.68	-76.5790	
535.240		4083.92		3587.41	4212.31	3527.71	4272.01	-188.092	
535.220		4179.67		3590.25	4228.29	3527.53	4291.02	-111.348	
535.200		4101.64		3593.17	4244.90	3527.34	4310.73	-209.087	
535.180		4068.48		3596.14	4262.17	3527.15	4331.16	-262.678	
535.160		4137.37		3599.17	4280.13	3526.95	4352.36	-214.987	
535.140		4044.76		3602.26	4298.83	3526.75	4374.34	-329.583	
535.120		4259.13		3605.39	4318.30	3526.54	4397.16	-138.029	
535.100		4128.22		3608.58	4338.59	3526.32	4420.84	-292.622	
535.080		4128.51		3611.80	4359.73	3526.09	4445.44	-316.930	
535.060		4346.88		3615.07	4381.78	3525.87	4470.98	-124.102	
535.040		4314.58		3618.37	4404.79	3525.63	4497.52	-182.940	
535.020		4161.38		3621.70	4428.80	3525.39	4525.11	-363.729	
535.000		4081.06		3625.06	4453.87	3525.14	4553.79	-472.725	
534.980		4364.60		3628.44	4480.05	3524.88	4583.61	-219.010	
534.960		4409.19		3631.84	4507.42	3524.62	4614.64	-205.452	
534.940		4409.76		3635.26	4536.03	3524.35	4646.94	-237.176	
534.920		4443.21		3638.69	4565.94	3524.07	4680.56	-237.357	
534.900		4371.46		3642.13	4597.23	3523.78	4715.58	-344.114	
534.880		4356.89		3645.57	4629.96	3523.48	4752.05	-395.168	
534.860		4354.31		3649.01	4664.22	3523.16	4790.06	-435.749	
534.840		4450.92		3652.44	4700.08	3522.84	4829.68	-378.760	
534.820		4587.26		3655.87	4737.62	3522.50	4871.00	-283.733	
534.800		4592.98		3659.29	4776.94	3522.15	4914.09	-321.108	
534.780		4752.47		3662.71	4818.13	3521.78	4959.05	-206.577	
534.760		4703.02		3666.11	4861.27	3521.41	5005.97	-302.947	
534.740		4681.30		3669.50	4906.46	3521.02	5054.95	-373.647	
534.720		4846.22		3672.88	4953.81	3520.61	5106.08	-259.853	
534.700		4745.90		3676.24	5003.42	3520.19	5159.47	-413.570	
534.680		4921.68		3679.59	5055.40	3519.75	5215.23	-293.546	
534.660		5031.16		3682.92	5109.85	3519.30	5273.47	-242.313	
534.640		5146.63		3686.23	5166.90	3518.83	5334.30	-187.669	
534.620		5195.22		3689.53	5226.65	3518.34	5397.84	-202.620	
534.600		5293.55		3692.80	5289.23	3517.82	5464.21	-170.669	
534.580		5107.47		3696.06	5354.76	3517.28	5533.54	-426.070	
534.560		5184.36		3699.30	5423.37	3516.72	5605.95	-421.591	
534.540		5344.14		3702.53	5495.18	3516.14	5681.57	-337.436	
534.520		5418.74		3705.74	5570.32	3515.52	5760.54	-341.799	
534.500		5505.63		3708.94	5648.92	3514.88	5842.98	-337.347	
534.480		5529.35		3712.12	5731.11	3514.21	5929.03	-399.672	
534.460		5569.37		3715.30	5817.03	3513.51	6018.82	-449.450	
534.440		5826.90		3718.47	5906.81	3512.78	6112.50	-285.594	
534.420		6004.69		3721.63	6000.57	3512.02	6210.19	-205.500	
534.400		6027.84		3724.79	6098.46	3511.22	6312.03	-284.190	
534.380		6120.16		3727.95	6200.59	3510.38	6418.16	-297.996	
534.360		6358.26		3731.12	6307.11	3509.52	6528.70	-170.446	
534.340		6384.27		3734.29	6418.12	3508.61	6643.79	-259.526	
534.320		6456.58		3737.47	6533.76	3507.67	6763.56	-306.973	
534.300		6840.45		3740.66	6654.13	3506.69	6888.11	-47.6559	
534.280		7035.39		3743.87	6779.35	3505.66	7017.56	17.8235	
534.260		7118.85		3747.10	6909.53	3504.59	7152.04	-33.1897	
534.240		7182.30		3750.35	7044.76	3503.48	7291.63	-109.333	
534.220		7354.94		3753.64	7185.14	3502.33	7436.45	-81.5038	
534.200		7423.83		3756.95	7330.73	3501.12	7586.55	-162.728	
534.180		7751.39		3760.28	7481.61	3499.86	7742.04	9.35027	
534.160		7766.54		3763.66	7637.84	3498.55	7902.96	-136.423	
534.140		8046.65		3767.07	7799.48	3497.18	8069.38	-22.7287	
534.120		8211.86		3770.53	7966.54	3495.75	8241.33	-29.4726	
534.100		8397.93		3774.03	8139.07	3494.26	8418.84	-20.9135	
534.080		8491.68		3777.58	8317.05	3492.70	8601.94	-110.253	
534.060		8741.21		3781.19	8500.49	3491.08	8790.60	-49.3939	
534.040		8612.59		3784.87	8689.37	3489.40	8984.83	-372.243	
534.020		8819.53		3788.61	8883.63	3487.66	9184.58	-365.054	
534.000		9314.01		3792.43	9083.23	3485.85	9389.81	-75.7953	
533.980		9729.03		3796.33	9288.07	3483.97	9600.43	128.602	
533.960		9958.55		3800.33	9498.07	3482.03	9816.36	142.190	
533.940		10248.4		3804.42	9713.10	3480.03	10037.5	210.896	
533.920		10550.2		3808.60	9933.01	3477.94	10263.7	286.553	
533.900		10868.1		3812.90	10157.6	3475.79	10494.7	373.315	
533.880		11186.8		3817.32	10386.8	3473.57	10730.5	456.212	
533.860		11532.6		3821.87	10620.3	3471.27	10970.9	561.742	
533.840		11500.3		3826.55	10857.8	3468.90	11215.5	284.824	
533.820		11781.3		3831.38	11099.2	3466.46	11464.2	317.129	
533.800		12106.0		3836.35	11344.2	3463.93	11716.6	389.392	
533.780		12160.6		3841.50	11592.3	3461.33	11972.5	188.065	
533.760		12260.3		3846.82	11843.4	3458.64	12231.6	28.7438	
533.740		12691.9		3852.32	12097.0	3455.87	12493.5	198.454	
533.720		13005.8		3858.02	12352.8	3453.01	12757.8	247.946	
533.700		13395.4		3863.93	12610.4	3450.08	13024.3	371.106	
533.680		13487.1		3870.08	12869.3	3447.06	13292.3	194.764	
533.660		13653.7		3876.48	13129.2	3443.96	13561.7	92.0592	
533.640		13879.8		3883.15	13389.5	3440.78	13831.8	48.0018	
533.620		14260.3		3890.11	13649.7	3437.53	14102.3	157.949	
533.600		14625.0		3897.38	13909.5	3434.19	14372.7	252.309	
533.580		14943.1		3904.98	14168.2	3430.78	14642.4	300.700	
533.560		14928.8		3912.94	14425.4	3427.30	14911.0	17.8044	
533.540		15606.5		3921.28	14680.4	3423.73	15178.0	428.545	
533.520		15858.1		3930.02	14932.8	3420.09	15442.8	415.288	
533.500		16149.3		3939.21	15182.0	3416.37	15704.8	444.468	
533.480		16273.4		3948.85	15427.4	3412.56	15963.7	309.687	
533.460		16629.2		3958.99	15668.4	3408.68	16218.7	410.502	
533.440		16663.8		3969.68	15904.5	3404.73	16469.4	194.369	
533.420		16949.9		3980.94	16135.1	3400.70	16715.3	234.628	
533.400		17416.7		3992.83	16359.5	3396.60	16955.8	460.927	
533.380		17574.5		4005.38	16577.3	3392.43	17190.3	384.171	
533.360		17565.0		4018.64	16787.9	3388.18	17418.4	146.647	
533.340		17977.8		4032.68	16990.7	3383.88	17639.5	338.234	
533.320		17997.5		4047.54	17185.2	3379.51	17853.3	144.234	
533.300		18423.9		4063.29	17370.9	3375.08	18059.1	364.866	
533.280		18451.7		4080.00	17547.1	3370.59	18256.6	195.114	
533.260		18950.7		4097.73	17713.6	3366.05	18445.3	505.462	
533.240		19186.0		4116.56	17869.7	3361.45	18624.8	561.158	
533.220		18960.7		4136.58	18015.0	3356.81	18794.8	165.917	
533.200		19218.5		4157.87	18149.2	3352.13	18954.9	263.599	
533.180		19307.2		4180.52	18271.8	3347.40	19104.9	202.243	
533.160		19473.2		4204.62	18382.4	3342.64	19244.4	228.792	
533.140		19604.1		4230.29	18480.8	3337.85	19373.3	230.859	
533.120		19614.7		4257.63	18566.6	3333.02	19491.2	123.458	
533.100		19564.7		4286.76	18639.6	3328.15	19598.2	-33.5249	
533.080		19779.9		4317.80	18699.5	3323.25	19694.0	85.8636	
533.060		19723.3		4350.88	18746.2	3318.33	19778.7	-55.3938	
533.040		19980.0		4386.14	18779.4	3313.39	19852.2	127.809	
533.020		19936.3		4423.74	18799.2	3308.42	19914.5	21.7625	
533.000		19891.1		4463.83	18805.3	3303.43	19965.7	-74.6380	
532.980		19731.0		4506.57	18797.9	3298.44	20006.0	-275.001	
532.960		19625.3		4552.14	18776.9	3293.43	20035.6	-410.296	
532.940		19792.5		4600.71	18742.3	3288.42	20054.6	-262.084	
532.920		19805.6		4652.47	18694.2	3283.39	20063.3	-257.672	
532.900		20141.8		4707.61	18632.9	3278.37	20062.1	79.6642	
532.880		20102.0		4766.35	18558.3	3273.34	20051.3	50.7039	
532.860		20174.6		4828.89	18470.8	3268.32	20031.4	143.223	
532.840		19980.8		4895.45	18370.7	3263.30	20002.8	-21.9590	
532.820		19886.0		4966.26	18258.0	3258.28	19966.0	-80.0526	
532.800		20040.9		5041.54	18133.3	3253.28	19921.6	119.311	
532.780		19804.2		5121.53	17996.8	3248.28	19870.1	-65.8459	
532.760		19759.3		5206.46	17848.9	3243.30	19812.1	-52.7603	
532.740		19677.0		5296.59	17690.1	3238.33	19748.3	-71.3139	
532.720		19827.1		5392.15	17520.7	3233.37	19679.4	147.639	
532.700		19649.6		5493.38	17341.2	3228.42	19606.1	43.4580	
532.680		19451.2		5600.52	17152.0	3223.48	19529.1	-77.8828	
532.660		19509.5		5713.83	16953.8	3218.55	19449.1	60.4084	
532.640		19111.6		5833.53	16747.0	3213.63	19366.9	-255.283	
532.620		19212.5		5959.87	16532.2	3208.73	19283.3	-70.7731	
532.600		19136.2		6093.06	16309.8	3203.85	19199.0	-62.8220	
532.580		18675.2		6233.33	16080.6	3198.99	19114.9	-439.718	
532.560		18732.4		6380.87	15844.9	3194.16	19031.6	-299.293	
532.540		18987.9		6535.87	15603.5	3189.34	18950.0	37.8538	
532.520		18928.4		6698.48	15356.8	3184.53	18870.8	57.6350	
532.500		18819.5		6868.86	15105.5	3179.74	18794.7	24.8573	
532.480		18736.6		7047.14	14850.2	3174.96	18722.4	14.2749	
532.460		18891.8		7233.41	14591.3	3170.19	18654.5	237.303	
532.440		18661.5		7427.74	14329.5	3165.44	18591.8	69.6241	
532.420		18612.9		7630.17	14065.4	3160.70	18534.9	78.0099	
532.400		18632.6		7840.71	13799.4	3155.97	18484.2	148.435	
532.380		18397.9		8059.33	13532.2	3151.26	18440.2	-42.3069	
532.360		18137.5		8285.93	13264.1	3146.54	18403.5	-265.994	
532.340		18181.6		8520.42	12995.9	3141.83	18374.5	-192.893	
532.320		18371.9		8762.63	12727.8	3137.12	18353.3	18.5973	
532.300		19015.9		9012.36	12460.5	3132.42	18340.4	675.479	
532.280		18612.6		9269.34	12194.3	3127.71	18335.9	276.668	
532.260		18331.0		9533.28	11929.7	3123.00	18340.0	-8.92371	
532.240		18491.7		9803.81	11667.1	3118.29	18352.6	139.061	
532.220		18520.3		10080.5	11406.9	3113.58	18373.9	146.411	
532.200		18387.6		10363.0	11149.5	3108.86	18403.6	-15.9253	
532.180		18447.7		10650.6	10895.1	3104.13	18441.6	6.08407	
532.160		18474.5		10942.9	10644.2	3099.39	18487.6	-13.1086	
532.140		19053.3		11239.1	10397.0	3094.64	18541.4	511.918	
532.120		18737.5		11538.7	10153.7	3089.87	18602.5	134.994	
532.100		18622.0		11840.8	9914.70	3085.09	18670.4	-48.3846	
532.080		18467.4		12144.7	9680.14	3080.28	18744.6	-277.184	
532.060		18666.3		12449.6	9450.23	3075.44	18824.4	-158.052	
532.040		19152.2		12754.6	9225.14	3070.59	18909.1	243.108	
532.020		18941.9		13058.7	9005.05	3065.72	18998.1	-56.2092	
532.000		18807.0		13361.1	8790.09	3060.83	19090.4	-283.447	
531.980		19077.9		13660.8	8580.35	3055.91	19185.2	-107.314	
531.960		19516.1		13956.7	8375.94	3050.98	19281.7	234.430	
531.940		19618.7		14247.8	8176.93	3046.02	19378.7	239.965	
531.920		19611.6		14533.2	7983.37	3041.05	19475.5	136.087	
531.900		19737.6		14811.6	7795.30	3036.06	19570.8	166.771	
531.880		19942.5		15082.1	7612.74	3031.05	19663.8	278.746	
531.860		19889.4		15343.7	7435.69	3026.03	19753.3	136.063	
531.840		19912.8		15595.2	7264.13	3020.99	19838.3	74.4895	
531.820		20136.9		15835.7	7098.03	3015.93	19917.8	219.130	
531.800		20100.3		16064.1	6937.35	3010.85	19990.6	109.702	
531.780		20107.8		16279.6	6782.03	3005.75	20055.8	51.9148	
531.760		20382.2		16481.1	6632.02	3000.64	20112.5	269.702	
531.740		20031.7		16667.8	6487.24	2995.51	20159.5	-127.759	
531.720		19826.8		16838.8	6347.60	2990.38	20196.0	-369.247	
531.700		19644.1		16993.4	6213.03	2985.24	20221.2	-577.093	
531.680		20078.6		17131.0	6083.41	2980.10	20234.3	-155.683	
531.660		19924.3		17250.8	5958.65	2974.97	20234.4	-310.182	
531.640		19871.1		17352.2	5838.63	2969.84	20221.0	-349.921	
531.620		20030.3		17434.9	5723.23	2964.72	20193.4	-163.116	
531.600		20178.1		17498.4	5612.34	2959.61	20151.1	26.9480	
531.580		20347.0		17542.4	5505.84	2954.52	20093.7	253.299	
531.560		19992.0		17566.6	5403.59	2949.45	20020.8	-28.7851	
531.540		19874.5		17571.0	5305.47	2944.39	19932.1	-57.5964	
531.520		19978.3		17555.6	5211.34	2939.37	19827.5	150.746	
531.500		19550.7		17520.2	5121.09	2934.37	19706.9	-156.264	
531.480		19232.3		17465.2	5034.59	2929.42	19570.4	-338.100	
531.460		19183.1		17390.7	4951.70	2924.50	19417.9	-234.795	
531.440		19300.6		17297.1	4872.29	2919.62	19249.7	50.8498	
531.420		19269.4		17184.7	4796.23	2914.78	19066.1	203.293	
531.400		18810.4		17054.1	4723.40	2909.99	18867.5	-57.0893	
531.380		18555.4		16905.8	4653.67	2905.25	18654.2	-98.7669	
531.360		18637.7		16740.4	4586.91	2900.55	18426.8	210.934	
531.340		18359.9		16558.8	4523.02	2895.91	18185.9	173.994	
531.320		18168.1		16361.7	4461.88	2891.34	17932.2	235.929	
531.300		17862.3		16149.8	4403.38	2886.84	17666.3	195.938	
531.280		17412.1		15924.2	4347.40	2882.40	17389.2	22.9546	
531.260		17084.5		15685.6	4293.83	2878.04	17101.4	-16.8821	
531.240		16694.1		15435.2	4242.58	2873.75	16804.1	-109.944	
531.220		16426.6		15173.9	4193.54	2869.54	16497.9	-71.3358	
531.200		16373.1		14902.7	4146.60	2865.40	16183.9	189.199	
531.180		16049.0		14622.7	4101.68	2861.34	15863.0	185.944	
531.160		16096.7		14334.9	4058.69	2857.37	15536.2	560.480	
531.140		15618.2		14040.4	4017.54	2853.48	15204.5	413.760	
531.120		15155.2		13740.3	3978.14	2849.68	14868.7	286.466	
531.100		14560.7		13435.5	3940.42	2845.97	14530.0	30.7224	
531.080		14628.1		13127.2	3904.30	2842.35	14189.1	439.034	
531.060		14362.3		12816.2	3869.70	2838.83	13847.1	515.214	
531.040		13928.1		12503.7	3836.56	2835.40	13504.9	423.278	
531.020		13392.8		12190.5	3804.81	2832.07	13163.3	229.518	
531.000		13307.9		11877.6	3774.39	2828.84	12823.2	484.743	
530.980		13028.6		11565.8	3745.22	2825.71	12485.3	543.316	
530.960		12655.9		11256.0	3717.24	2822.67	12150.5	505.371	
530.940		12291.8		10948.8	3690.41	2819.72	11819.5	472.229	
530.920		11869.9		10645.2	3664.67	2816.86	11493.0	376.901	
530.900		11626.7		10345.6	3639.96	2814.10	11171.5	455.142	
530.880		11265.4		10050.9	3616.24	2811.43	10855.7	409.682	
530.860		10824.9		9761.42	3593.47	2808.86	10546.0	278.872	
530.840		10373.9		9477.81	3571.59	2806.38	10243.0	130.841	
530.820		9985.42		9200.50	3550.57	2803.99	9947.08	38.3431	
530.800		9731.61		8929.90	3530.36	2801.69	9658.57	73.0350	
530.780		9431.20		8666.36	3510.94	2799.49	9377.82	53.3839	
530.760		9139.94		8410.19	3492.26	2797.37	9105.08	34.8624	
530.740		8941.86		8161.62	3474.28	2795.33	8840.57	101.289	
530.720		8730.35		7920.87	3456.98	2793.39	8584.47	145.878	
530.700		8483.11		7688.09	3440.33	2791.52	8336.90	146.211	
530.680		8406.51		7463.38	3424.29	2789.73	8097.93	308.573	
530.660		8009.49		7246.81	3408.83	2788.02	7867.62	141.872	
530.640		7739.95		7038.41	3393.93	2786.38	7645.95	93.9982	
530.620		7599.61		6838.17	3379.56	2784.82	7432.91	166.698	
530.600		7214.03		6646.05	3365.70	2783.33	7228.43	-14.3988	
530.580		6961.36		6461.98	3352.33	2781.91	7032.40	-71.0466	
530.560		6744.41		6285.84	3339.42	2780.55	6844.71	-100.301	
530.540		6584.35		6117.51	3326.96	2779.25	6665.21	-80.8622	
530.520		6387.70		5956.83	3314.91	2778.01	6493.73	-106.029	
530.500		6329.67		5803.64	3303.26	2776.83	6330.07	-0.399363	
530.480		6190.19		5657.75	3292.00	2775.70	6174.05	16.1421	
530.460		6046.13		5518.95	3281.11	2774.63	6025.43	20.7006	
530.440		5907.22		5387.04	3270.56	2773.60	5884.00	23.2247	
530.420		5719.43		5261.77	3260.36	2772.63	5749.50	-30.0700	
530.400		5610.82		5142.93	3250.48	2771.71	5621.70	-10.8891	
530.380		5311.84		5030.27	3240.92	2770.83	5500.36	-188.517	
530.360		5074.89		4923.55	3231.64	2770.00	5385.20	-310.310	
530.340		5120.91		4822.53	3222.66	2769.21	5275.97	-155.068	
530.320		4905.10		4726.95	3213.94	2768.46	5172.43	-267.325	
530.300		4860.23		4636.57	3205.48	2767.75	5074.31	-214.079	
530.280		4736.47		4551.15	3197.27	2767.07	4981.36	-244.893	
530.260		4627.85		4470.45	3189.30	2766.42	4893.34	-265.484	
530.240		4525.52		4394.24	3181.56	2765.81	4809.99	-284.470	
530.220		4551.53		4322.29	3174.04	2765.23	4731.10	-179.566	
530.200		4337.16		4254.37	3166.73	2764.68	4656.42	-319.260	
530.180		4201.97		4190.27	3159.62	2764.16	4585.74	-383.772	
530.160		4076.49		4129.78	3152.71	2763.66	4518.83	-442.341	
530.140		4163.95		4072.70	3145.99	2763.20	4455.49	-291.536	
530.120		4077.06		4018.83	3139.44	2762.76	4395.51	-318.454	
530.100		3931.86		3967.99	3133.06	2762.34	4338.71	-406.853	
530.080		3959.58		3919.99	3126.85	2761.94	4284.90	-325.315	
530.060		3909.56		3874.66	3120.79	2761.55	4233.90	-324.336	
530.040		3720.06		3831.86	3114.88	2761.19	4185.55	-465.489	
530.020		3708.63		3791.41	3109.12	2760.84	4139.69	-431.061	
530.000		3582.58		3753.19	3103.49	2760.52	4096.17	-513.589	
529.980		3694.05		3717.04	3098.00	2760.20	4054.84	-360.791	
529.960		3635.74		3682.85	3092.63	2759.90	4015.58	-379.837	
529.940		3659.18		3650.48	3087.39	2759.62	3978.25	-319.072	
529.920		3518.26		3619.82	3082.26	2759.34	3942.74	-424.475	
529.900		3509.69		3590.77	3077.24	2759.08	3908.93	-399.243	
529.880		3536.84		3563.22	3072.33	2758.83	3876.72	-339.879	
529.860		3507.97		3537.08	3067.52	2758.59	3846.01	-338.038	
529.840		3521.69		3512.25	3062.82	2758.36	3816.71	-295.018	
529.820		3445.95		3488.67	3058.20	2758.14	3788.73	-342.782	
529.800		3319.61		3466.24	3053.68	2757.93	3761.99	-442.374	
529.780		3375.64		3444.89	3049.24	2757.72	3736.41	-360.771	
529.760		3392.50		3424.56	3044.88	2757.53	3711.91	-319.415	
529.740		3353.34		3405.19	3040.60	2757.34	3688.45	-335.104	
529.720		3399.36		3386.71	3036.39	2757.16	3665.94	-266.577	
529.700		3252.73		3369.06	3032.25	2756.98	3644.33	-391.603	
529.680		3320.47		3352.21	3028.18	2756.81	3623.58	-303.106	
529.660		3293.32		3336.10	3024.17	2756.64	3603.62	-310.303	
529.640		3180.70		3320.68	3020.22	2756.48	3584.41	-403.713	
529.620		3027.78		3305.92	3016.33	2756.33	3565.91	-538.131	
529.600		3191.56		3291.77	3012.49	2756.18	3548.08	-356.518	
529.580		3261.02		3278.21	3008.70	2756.04	3530.88	-269.856	
