5999.9423217773	0.0559285507
5999.4602050781	0.0560894571
5998.9780883789	0.0562247410
5998.4959716797	0.0562486798
5998.0138549805	0.0562922321
5997.5317382813	0.0562359318
5997.0496215820	0.0561089069
5996.5675048828	0.0561698936
5996.0853881836	0.0562169775
5995.6032714844	0.0561411791
5995.1211547852	0.0561877564
5994.6390380859	0.0563092306
5994.1569213867	0.0564067252
5993.6748046875	0.0564548746
5993.1926879883	0.0564010292
5992.7105712891	0.0564186275
5992.2284545898	0.0564725399
5991.7463378906	0.0563645698
5991.2642211914	0.0563168004
5990.7821044922	0.0564127006
5990.2999877930	0.0564603545
5989.8178710938	0.0565105639
5989.3357543945	0.0565581173
5988.8536376953	0.0565692186
5988.3715209961	0.0566292405
5987.8894042969	0.0565995649
5987.4072875977	0.0564601943
5986.9251708984	0.0563887209
5986.4430541992	0.0563596338
5985.9609375000	0.0564410016
5985.4788208008	0.0566293150
5984.9967041016	0.0566751696
5984.5145874023	0.0566599518
5984.0324707031	0.0566868372
5983.5503540039	0.0566638000
5983.0682373047	0.0567186326
5982.5861206055	0.0568061769
5982.1040039063	0.0567955263
5981.6218872070	0.0568342060
5981.1397705078	0.0568344146
5980.6576538086	0.0567354485
5980.1755371094	0.0567441545
5979.6934204102	0.0567542501
5979.2113037109	0.0567133501
5978.7291870117	0.0567656755
5978.2470703125	0.0568060130
5977.7649536133	0.0568446144
5977.2828369141	0.0569013730
5976.8007202148	0.0568369031
5976.3186035156	0.0568201467
5975.8364868164	0.0568618476
5975.3543701172	0.0567566752
5974.8722534180	0.0567579493
5974.3901367188	0.0569387674
5973.9080200195	0.0570053682
5973.4259033203	0.0569795445
5972.9437866211	0.0568884462
5972.4616699219	0.0567797013
5971.9795532227	0.0568571091
5971.4974365234	0.0569675677
5971.0153198242	0.0569798872
5970.5332031250	0.0570065677
5970.0510864258	0.0569861084
5969.5689697266	0.0569895916
5969.0868530273	0.0570920333
5968.6047363281	0.0570898764
5968.1226196289	0.0570415445
5967.6405029297	0.0570606366
5967.1583862305	0.0570547841
5966.6762695313	0.0571048111
5966.1941528320	0.0571831167
5965.7120361328	0.0571899340
5965.2299194336	0.0572333336
5964.7478027344	0.0572509430
5964.2656860352	0.0572244376
5963.7835693359	0.0572927073
5963.3014526367	0.0573059618
5962.8193359375	0.0572572723
5962.3372192383	0.0573519617
5961.8551025391	0.0574345961
5961.3729858398	0.0574283414
5960.8908691406	0.0574328676
5960.4087524414	0.0573554710
5959.9266357422	0.0573141277
5959.4445190430	0.0573899448
5958.9624023438	0.0574043840
5958.4802856445	0.0574720502
5957.9981689453	0.0576025397
5957.5160522461	0.0575604513
5957.0339355469	0.0574537441
5956.5518188477	0.0573921837
5956.0697021484	0.0573841706
5955.5875854492	0.0574986339
5955.1054687500	0.0575209931
5954.6233520508	0.0574116707
5954.1412353516	0.0574229658
5953.6591186523	0.0574767739
5953.1770019531	0.0575625934
5952.6948852539	0.0577351972
5952.2127685547	0.0577194393
5951.7306518555	0.0575544052
5951.2485351563	0.0575008988
5950.7664184570	0.0575465336
5950.2843017578	0.0577163175
5949.8021850586	0.0578662530
5949.3200683594	0.0577654615
5948.8379516602	0.0576390661
5948.3558349609	0.0576377064
5947.8737182617	0.0576887242
5947.3916015625	0.0578156523
5946.9094848633	0.0578580871
5946.4273681641	0.0578038432
5945.9452514648	0.0578224100
5945.4631347656	0.0577960201
5944.9810180664	0.0577946454
5944.4989013672	0.0579243563
5944.0167846680	0.0579286516
5943.5346679688	0.0578475296
5943.0525512695	0.0578398928
5942.5704345703	0.0578305945
5942.0883178711	0.0579236373
5941.6062011719	0.0580628589
5941.1240844727	0.0580417886
5940.6419677734	0.0580087416
5940.1598510742	0.0579884946
5939.6777343750	0.0579155087
5939.1956176758	0.0579739884
5938.7135009766	0.0580738261
5938.2313842773	0.0580699183
5937.7492675781	0.0580850691
5937.2671508789	0.0580873862
5936.7850341797	0.0581242517
5936.3029174805	0.0582285002
5935.8208007813	0.0581446104
5935.3386840820	0.0580189899
5934.8565673828	0.0580766685
5934.3744506836	0.0581171736
5933.8923339844	0.0581684485
5933.4102172852	0.0582454912
5932.9281005859	0.0581963956
5932.4459838867	0.0581842363
5931.9638671875	0.0581788458
5931.4817504883	0.0580579340
5930.9996337891	0.0580331273
5930.5175170898	0.0580658838
5930.0354003906	0.0581120402
5929.5532836914	0.0583114177
5929.0711669922	0.0584199578
5928.5890502930	0.0583597496
5928.1069335938	0.0583750829
5927.6248168945	0.0583951660
5927.1427001953	0.0583760180
5926.6605834961	0.0583593175
5926.1784667969	0.0582978129
5925.6963500977	0.0583786257
5925.2142333984	0.0585502982
5924.7321166992	0.0585281253
5924.2500000000	0.0584699884
5923.7678833008	0.0584602915
5923.2857666016	0.0584200397
5922.8036499023	0.0584702380
5922.3215332031	0.0584775209
5921.8394165039	0.0583929345
5921.3572998047	0.0584408492
5920.8751831055	0.0584961325
5920.3930664063	0.0585190952
5919.9109497070	0.0586448386
5919.4288330078	0.0586800501
5918.9467163086	0.0586336181
5918.4645996094	0.0586442053
5917.9824829102	0.0585642047
5917.5003662109	0.0584795177
5917.0182495117	0.0584936291
5916.5361328125	0.0584834367
5916.0540161133	0.0585658476
5915.5718994141	0.0587250628
5915.0897827148	0.0587873086
5914.6076660156	0.0588898137
5914.1255493164	0.0589818880
5913.6434326172	0.0588974059
5913.1613159180	0.0588102862
5912.6791992188	0.0587631091
5912.1970825195	0.0587529317
5911.7149658203	0.0588667542
5911.2328491211	0.0588906445
5910.7507324219	0.0587982088
