?
Axis	Energy	Elements=	1361
Axis	Position	Elements=	1
Axis	X	Elements=	1
Axis	Y	Elements=	1

C:\Users\AG Wittstock\Documents\Iza\06_27.01.2017\Grosz_03\Mono 500µm\Multi Point\Ion Beam Etch\Wait Object\Survey.VGD


	Position (Pos)\	Pt #003	
	X (X)\µm	22023.6	
	Y (Y)\µm	2940.10	
Binding Energy (E)	
eV		Counts / s
1051.00		400055.	
1050.00		404986.	
1049.00		406302.	
1048.00		407217.	
1047.00		427384.	
1046.00		475606.	
1045.00		529954.	
1044.00		510722.	
1043.00		440224.	
1042.00		401988.	
1041.00		395168.	
1040.00		397315.	
1039.00		394504.	
1038.00		393802.	
1037.00		391028.	
1036.00		394739.	
1035.00		390690.	
1034.00		392466.	
1033.00		391655.	
1032.00		390069.	
1031.00		391727.	
1030.00		389956.	
1029.00		389707.	
1028.00		392150.	
1027.00		394389.	
1026.00		395759.	
1025.00		404380.	
1024.00		440234.	
1023.00		530908.	
1022.00		671653.	
1021.00		631450.	
1020.00		461168.	
1019.00		392758.	
1018.00		374299.	
1017.00		372752.	
1016.00		372565.	
1015.00		371027.	
1014.00		370716.	
1013.00		372782.	
1012.00		369888.	
1011.00		372835.	
1010.00		373686.	
1009.00		372552.	
1008.00		378362.	
1007.00		374459.	
1006.00		375952.	
1005.00		378146.	
1004.00		380363.	
1003.00		381977.	
1002.00		383665.	
1001.00		385558.	
1000.00		387661.	
999.000		388150.	
998.000		391233.	
997.000		388789.	
996.000		389541.	
995.000		393430.	
994.000		391038.	
993.000		392542.	
992.000		395089.	
991.000		394685.	
990.000		394441.	
989.000		395857.	
988.000		398141.	
987.000		398797.	
986.000		401758.	
985.000		406179.	
984.000		406288.	
983.000		411298.	
982.000		415541.	
981.000		414561.	
980.000		415612.	
979.000		418935.	
978.000		426013.	
977.000		425965.	
976.000		427062.	
975.000		429485.	
974.000		432165.	
973.000		435134.	
972.000		435564.	
971.000		435158.	
970.000		430699.	
969.000		437177.	
968.000		438225.	
967.000		439212.	
966.000		440628.	
965.000		441356.	
964.000		435574.	
963.000		427162.	
962.000		423570.	
961.000		425881.	
960.000		429963.	
959.000		429833.	
958.000		429975.	
957.000		435785.	
