?
Axis	Energy	Elements=	1361
Axis	Position	Elements=	1
Axis	X	Elements=	1
Axis	Y	Elements=	1

C:\Users\AG Wittstock\Documents\Iza\06_27.01.2017\Grosz_03\Mono 500µm\Multi Point\Survey.VGD


	Position (Pos)\	Pt #003	
	X (X)\µm	22023.6	
	Y (Y)\µm	2940.10	
Binding Energy (E)	
eV		Counts / s
1050.00		325129.	
1049.00		323286.	
1048.00		322899.	
1047.00		333692.	
1046.00		362093.	
1045.00		381529.	
1044.00		365963.	
1043.00		337340.	
1042.00		324267.	
1041.00		319776.	
1040.00		323624.	
1039.00		320356.	
1038.00		317257.	
1037.00		319128.	
1036.00		318559.	
1035.00		319191.	
1034.00		313288.	
1033.00		312266.	
1032.00		310374.	
1031.00		312677.	
1030.00		310853.	
1029.00		308986.	
1028.00		312605.	
1027.00		313327.	
1026.00		314055.	
1025.00		318949.	
1024.00		336539.	
1023.00		381748.	
1022.00		432013.	
1021.00		406569.	
1020.00		343657.	
1019.00		315140.	
1018.00		314780.	
1017.00		310678.	
1016.00		311720.	
1015.00		310544.	
1014.00		310717.	
1013.00		307968.	
1012.00		305880.	
1011.00		308813.	
1010.00		310455.	
1009.00		312771.	
1008.00		310551.	
1007.00		311883.	
1006.00		312193.	
1005.00		312517.	
1004.00		311837.	
1003.00		311221.	
1002.00		314440.	
1001.00		313758.	
1000.00		316986.	
999.000		319148.	
998.000		318250.	
997.000		318043.	
996.000		318808.	
995.000		316335.	
994.000		318049.	
993.000		317167.	
992.000		317367.	
991.000		320705.	
990.000		315091.	
989.000		316153.	
988.000		316244.	
987.000		318150.	
986.000		316194.	
985.000		318069.	
984.000		316267.	
983.000		317684.	
982.000		320947.	
981.000		323632.	
980.000		323263.	
979.000		325643.	
978.000		326319.	
977.000		326902.	
976.000		325332.	
975.000		328421.	
974.000		333585.	
973.000		327603.	
972.000		326023.	
971.000		320990.	
970.000		318802.	
969.000		317374.	
968.000		314161.	
967.000		307802.	
966.000		310174.	
965.000		304264.	
964.000		304469.	
963.000		297346.	
962.000		296555.	
961.000		296098.	
960.000		295527.	
959.000		302322.	
958.000		299692.	
957.000		297349.	
956.000		305770.	
955.000		322137.	
954.000		357754.	
953.000		401450.	
952.000		385569.	
951.000		328576.	
950.000		296597.	
949.000		285190.	
948.000		279228.	
947.000		274874.	
946.000		268002.	
945.000		266817.	
944.000		258186.	
943.000		253098.	
942.000		248002.	
941.000		243658.	
940.000		240260.	
939.000		244229.	
938.000		244632.	
937.000		247922.	
936.000		255739.	
935.000		281963.	
934.000		393732.	
933.000		508935.	
932.000		427520.	
931.000		281513.	
930.000		231927.	
929.000		219202.	
928.000		218122.	
927.000		220324.	
926.000		216076.	
925.000		215691.	
924.000		216228.	
923.000		217180.	
922.000		216382.	
921.000		212360.	
920.000		214609.	
919.000		217841.	
918.000		216537.	
917.000		218756.	
916.000		216330.	
915.000		217924.	
914.000		217635.	
913.000		220954.	
912.000		217902.	
