Labels	ph12emmissions_320_330	
Type	Emission Scan	
Comment		
Start	330.00	
Stop	550.00	
Step	1.00	
Fixed/Offset	320.00	
Xaxis	Wavelength	
Yaxis	Counts	
Scan Corr. by File	True	
Corr. by Ref. Det.	True	
Fixed/Offset Corr. by File	False	
Repeats	1	
Dwell Time	1.00	
Lamp	Xe	
Temp	0.00	
Scan Polariser	None	
Scan Slit	1.4995313	
Fixed/Offset Polariser	None	
Fixed/Offset Slit	1.4995313	
Detector	CB Det1	

330.00	4.87693695E+2	
331.00	4.52095154E+2	
332.00	4.89410736E+2	
333.00	4.94316895E+2	
334.00	5.05763092E+2	
335.00	5.30426880E+2	
336.00	5.37613464E+2	
337.00	5.62091064E+2	
338.00	6.23395020E+2	
339.00	6.70506592E+2	
340.00	6.78358459E+2	
341.00	6.71321045E+2	
342.00	6.61233521E+2	
343.00	6.74193787E+2	
344.00	6.68016846E+2	
345.00	6.32357910E+2	
346.00	6.76465576E+2	
347.00	6.45354797E+2	
348.00	7.32793945E+2	
349.00	7.66370483E+2	
350.00	8.50769043E+2	
351.00	9.93157776E+2	
352.00	1.32192651E+3	
353.00	1.86262048E+3	
354.00	2.86893237E+3	
355.00	4.10049414E+3	
356.00	5.16140137E+3	
357.00	5.97420752E+3	
358.00	6.28473145E+3	
359.00	6.05477344E+3	
360.00	5.16814844E+3	
361.00	4.32072998E+3	
362.00	3.68998706E+3	
363.00	3.79367480E+3	
364.00	4.33278613E+3	
365.00	5.08591357E+3	
366.00	6.11166748E+3	
367.00	7.28227588E+3	
368.00	8.50009180E+3	
369.00	1.00126563E+4	
370.00	1.17708564E+4	
371.00	1.35292480E+4	
372.00	1.56220654E+4	
373.00	1.78408379E+4	
374.00	2.08154453E+4	
375.00	2.34562344E+4	
376.00	2.66191738E+4	
377.00	3.01364902E+4	
378.00	3.36230742E+4	
379.00	3.76330430E+4	
380.00	4.18116719E+4	
381.00	4.57483047E+4	
382.00	5.00561055E+4	
383.00	5.49840273E+4	
384.00	5.98016914E+4	
385.00	6.47202070E+4	
386.00	6.97150938E+4	
387.00	7.46427422E+4	
388.00	7.98059844E+4	
389.00	8.48968359E+4	
390.00	9.03549531E+4	
391.00	9.52901172E+4	
392.00	1.00465266E+5	
393.00	1.05249750E+5	
394.00	1.09832227E+5	
395.00	1.14985000E+5	
396.00	1.19129320E+5	
397.00	1.23229273E+5	
398.00	1.27998430E+5	
399.00	1.31947516E+5	
400.00	1.36154875E+5	
401.00	1.39301375E+5	
402.00	1.42635781E+5	
403.00	1.45388297E+5	
404.00	1.48571656E+5	
405.00	1.51166500E+5	
406.00	1.53225484E+5	
407.00	1.55329484E+5	
408.00	1.57130813E+5	
409.00	1.59307078E+5	
410.00	1.58532688E+5	
411.00	1.59773109E+5	
412.00	1.61077188E+5	
413.00	1.61255547E+5	
414.00	1.61930719E+5	
415.00	1.61461656E+5	
416.00	1.61632688E+5	
417.00	1.60945563E+5	
418.00	1.60966969E+5	
419.00	1.60325188E+5	
420.00	1.59646828E+5	
421.00	1.58566172E+5	
422.00	1.57818891E+5	
423.00	1.56590563E+5	
424.00	1.54469031E+5	
425.00	1.53178031E+5	
426.00	1.51494531E+5	
427.00	1.49465141E+5	
428.00	1.47294859E+5	
429.00	1.45419109E+5	
430.00	1.43551359E+5	
431.00	1.41573875E+5	
432.00	1.39327281E+5	
433.00	1.37399234E+5	
434.00	1.35189344E+5	
435.00	1.33172063E+5	
436.00	1.30240039E+5	
437.00	1.28217445E+5	
438.00	1.25692063E+5	
439.00	1.22754031E+5	
440.00	1.20401813E+5	
441.00	1.17993234E+5	
442.00	1.15635164E+5	
443.00	1.12462477E+5	
444.00	1.09994813E+5	
445.00	1.07824414E+5	
446.00	1.04908180E+5	
447.00	1.01778813E+5	
448.00	9.93496484E+4	
449.00	9.66166641E+4	
450.00	9.42822109E+4	
451.00	9.15487109E+4	
452.00	8.88040781E+4	
453.00	8.61326875E+4	
454.00	8.36772734E+4	
455.00	8.13480938E+4	
456.00	7.87494766E+4	
457.00	7.63779141E+4	
458.00	7.37281406E+4	
459.00	7.18548359E+4	
460.00	6.94898047E+4	
461.00	6.74867188E+4	
462.00	6.54658555E+4	
463.00	6.30260078E+4	
464.00	6.08807617E+4	
465.00	5.91308047E+4	
466.00	5.70462813E+4	
467.00	5.52764141E+4	
468.00	5.33687930E+4	
469.00	5.19938633E+4	
470.00	5.00587422E+4	
471.00	4.84154844E+4	
472.00	4.66179531E+4	
473.00	4.50659180E+4	
474.00	4.38482930E+4	
475.00	4.21839727E+4	
476.00	4.08491484E+4	
477.00	3.92637070E+4	
478.00	3.78823633E+4	
479.00	3.66198047E+4	
480.00	3.53105547E+4	
481.00	3.37401328E+4	
482.00	3.25441035E+4	
483.00	3.16323652E+4	
484.00	3.03343203E+4	
485.00	2.93910449E+4	
486.00	2.82480820E+4	
487.00	2.70618809E+4	
488.00	2.61837324E+4	
489.00	2.51419297E+4	
490.00	2.40084492E+4	
491.00	2.32041426E+4	
492.00	2.24266406E+4	
493.00	2.13856660E+4	
494.00	2.08819453E+4	
495.00	1.99556094E+4	
496.00	1.91496152E+4	
497.00	1.84709063E+4	
498.00	1.78065391E+4	
499.00	1.71811602E+4	
500.00	1.62840371E+4	
501.00	1.58128076E+4	
502.00	1.53131211E+4	
503.00	1.47561074E+4	
504.00	1.42246230E+4	
505.00	1.34799258E+4	
506.00	1.29436318E+4	
507.00	1.24696904E+4	
508.00	1.20131611E+4	
509.00	1.13893418E+4	
510.00	1.11312393E+4	
511.00	1.06284902E+4	
512.00	1.03008828E+4	
513.00	9.87119922E+3	
514.00	9.31968750E+3	
515.00	9.05578516E+3	
516.00	8.77437598E+3	
517.00	8.38621484E+3	
518.00	7.93590771E+3	
519.00	7.70187256E+3	
520.00	7.44191357E+3	
521.00	7.12296094E+3	
522.00	6.76155713E+3	
523.00	6.60499170E+3	
524.00	6.33088721E+3	
525.00	6.11533545E+3	
526.00	5.77192969E+3	
527.00	5.56974707E+3	
528.00	5.43485010E+3	
529.00	5.20051123E+3	
530.00	4.97709326E+3	
531.00	4.80856348E+3	
532.00	4.69485498E+3	
533.00	4.45589063E+3	
534.00	4.33990088E+3	
535.00	4.10794043E+3	
536.00	3.94967993E+3	
537.00	3.76635791E+3	
538.00	3.79250586E+3	
539.00	3.58335083E+3	
540.00	3.45830957E+3	
541.00	3.30146167E+3	
542.00	3.12970068E+3	
543.00	2.99646167E+3	
544.00	2.92851172E+3	
545.00	2.79779492E+3	
546.00	2.71071191E+3	
547.00	2.57991895E+3	
548.00	2.54035181E+3	
549.00	2.50131030E+3	
550.00	2.35573877E+3	
