?
Axis	Energy	Elements=	1361
Axis	Position	Elements=	1
Axis	X	Elements=	1
Axis	Y	Elements=	1

C:\Users\AG Wittstock\Documents\Iza\06_27.01.2017\AgProbe_01\Mono 250µm\Multi Point\Ion Beam Etch\Wait Object\Survey.VGD


	Position (Pos)\	Pt #002	
	X (X)\µm	22667.7	
	Y (Y)\µm	7958.70	
Binding Energy (E)	
eV		Counts / s
1076.00		796.787	
1075.00		958.233	
1074.00		983.735	
1073.00		975.100	
1072.00		824.699	
1071.00		991.365	
1070.00		994.378	
1069.00		1054.42	
1068.00		929.116	
1067.00		1049.00	
1066.00		878.514	
1065.00		940.964	
1064.00		992.169	
1063.00		1174.10	
1062.00		1213.65	
1061.00		855.622	
1060.00		1151.41	
1059.00		954.418	
1058.00		804.217	
1057.00		969.076	
1056.00		1076.71	
1055.00		873.494	
1054.00		1106.22	
1053.00		1141.77	
1052.00		1015.26	
1051.00		1029.72	
1050.00		1052.41	
1049.00		1011.45	
1048.00		1063.65	
1047.00		989.157	
1046.00		978.112	
1045.00		951.004	
1044.00		850.000	
1043.00		1066.06	
1042.00		1029.32	
1041.00		966.466	
1040.00		959.839	
1039.00		876.707	
1038.00		946.386	
1037.00		931.928	
1036.00		1099.60	
1035.00		884.137	
1034.00		677.108	
1033.00		975.502	
1032.00		1059.24	
1031.00		984.940	
1030.00		1095.58	
1029.00		901.406	
1028.00		949.799	
1027.00		1447.59	
1026.00		1023.90	
1025.00		951.004	
1024.00		760.040	
1023.00		881.526	
1022.00		900.602	
1021.00		966.867	
1020.00		1003.41	
1019.00		1031.93	
1018.00		973.695	
1017.00		914.659	
1016.00		942.570	
1015.00		974.900	
1014.00		1242.57	
1013.00		1079.52	
1012.00		743.173	
1011.00		1010.24	
1010.00		993.574	
1009.00		917.068	
1008.00		926.908	
1007.00		966.867	
1006.00		939.357	
1005.00		1046.79	
1004.00		1179.72	
1003.00		858.233	
1002.00		933.735	
1001.00		1136.95	
1000.00		919.277	
999.000		922.088	
998.000		1034.74	
997.000		1122.49	
996.000		836.345	
995.000		979.317	
994.000		1090.56	
993.000		982.932	
992.000		966.867	
991.000		968.474	
990.000		1072.29	
989.000		1066.47	
988.000		1030.92	
987.000		810.040	
986.000		799.398	
985.000		909.036	
984.000		985.141	
983.000		827.108	
982.000		845.783	
981.000		916.466	
980.000		1030.72	
979.000		1052.21	
978.000		891.968	
977.000		1036.55	
976.000		999.598	
975.000		826.707	
974.000		1139.96	
973.000		967.871	
972.000		924.096	
971.000		759.839	
970.000		819.277	
969.000		858.434	
968.000		1028.92	
967.000		925.100	
966.000		988.153	
965.000		935.743	
964.000		988.554	
963.000		838.153	
962.000		1098.59	
961.000		995.181	
960.000		1026.10	
959.000		1040.76	
958.000		1157.23	
957.000		1189.16	
956.000		1066.67	
955.000		1177.11	
954.000		929.719	
953.000		823.695	
952.000		795.582	
951.000		878.112	
950.000		985.944	
949.000		1097.19	
948.000		973.695	
947.000		855.622	
946.000		903.614	
945.000		933.534	
944.000		971.084	
943.000		944.177	
942.000		991.566	
941.000		910.040	
940.000		938.353	
939.000		754.819	
938.000		815.261	
937.000		799.799	
936.000		958.233	
935.000		778.112	
934.000		842.771	
933.000		688.353	
932.000		869.076	
931.000		812.651	
930.000		1013.86	
929.000		961.044	
928.000		841.566	
927.000		1025.30	
926.000		1020.68	
925.000		1091.57	
924.000		895.382	
923.000		861.647	
922.000		980.120	
921.000		973.695	
920.000		1163.86	
919.000		1187.35	
918.000		1105.42	
917.000		1146.79	
916.000		1143.78	
915.000		1080.12	
914.000		974.096	
913.000		1124.10	
912.000		983.936	
911.000		1041.97	
910.000		870.080	
909.000		950.000	
908.000		1099.20	
907.000		1104.42	
906.000		994.177	
905.000		1098.19	
904.000		955.823	
903.000		948.996	
902.000		1163.45	
901.000		1189.56	
900.000		1075.50	
899.000		870.482	
898.000		808.835	
897.000		711.847	
896.000		766.064	
895.000		1065.46	
894.000		779.719	
893.000		916.667	
892.000		944.177	
891.000		999.197	
890.000		1016.87	
889.000		986.145	
888.000		1136.95	
887.000		1194.58	
886.000		1024.70	
885.000		998.795	
884.000		1086.55	
883.000		925.904	
882.000		885.341	
881.000		920.080	
880.000		969.277	
879.000		874.498	
878.000		892.570	
877.000		1007.03	
876.000		997.791	
875.000		904.418	
874.000		962.048	
873.000		940.562	
872.000		959.036	
871.000		869.679	
870.000		1038.55	
869.000		1006.43	
868.000		781.928	
867.000		1012.65	
866.000		1131.53	
865.000		932.932	
864.000		870.281	
863.000		949.598	
862.000		904.016	
861.000		1211.45	
860.000		1263.25	
859.000		1008.03	
858.000		1065.66	
857.000		1040.16	
856.000		1286.75	
855.000		856.627	
854.000		887.550	
853.000		784.940	
852.000		989.558	
851.000		1090.36	
850.000		1013.45	
849.000		1034.94	
848.000		1047.39	
847.000		920.281	
846.000		956.225	
845.000		986.145	
844.000		735.141	
843.000		930.321	
842.000		1268.88	
841.000		1259.44	
840.000		1022.89	
839.000		1066.67	
838.000		831.526	
837.000		1017.87	
836.000		1023.90	
835.000		1083.94	
834.000		1204.82	
833.000		1207.23	
832.000		1053.41	
831.000		787.149	
830.000		946.787	
829.000		1015.86	
828.000		1111.04	
827.000		1132.33	
826.000		1117.87	
825.000		1309.04	
824.000		1132.13	
823.000		1244.58	
822.000		1067.87	
821.000		1188.76	
820.000		1095.18	
819.000		1313.45	
818.000		1265.46	
817.000		999.799	
816.000		1084.34	
815.000		1077.31	
814.000		1077.51	
813.000		952.610	
812.000		967.871	
811.000		1050.40	
810.000		1258.43	
809.000		1039.36	
808.000		1030.32	
807.000		1341.57	
806.000		1131.53	
805.000		1217.47	
804.000		911.446	
803.000		1209.04	
802.000		1175.10	
801.000		1075.30	
800.000		727.711	
799.000		877.711	
798.000		995.984	
797.000		1338.15	
796.000		941.968	
795.000		1049.00	
794.000		1196.18	
793.000		1070.28	
792.000		1189.96	
791.000		1148.59	
790.000		1121.69	
789.000		1123.29	
788.000		1224.70	
787.000		1237.75	
786.000		1328.71	
785.000		1251.41	
784.000		1020.48	
783.000		999.197	
782.000		1198.59	
781.000		1335.94	
780.000		1107.43	
779.000		1100.20	
778.000		1176.51	
777.000		1111.04	
776.000		1359.84	
775.000		1131.12	
774.000		1187.75	
773.000		960.040	
772.000		990.161	
771.000		1233.13	
770.000		937.550	
769.000		1166.87	
768.000		1201.00	
767.000		1006.43	
766.000		1037.35	
765.000		1145.18	
764.000		1334.94	
763.000		1326.10	
762.000		1215.46	
761.000		1034.54	
760.000		1368.88	
759.000		974.699	
758.000		1166.27	
757.000		1037.55	
756.000		961.847	
755.000		1135.74	
754.000		1099.00	
753.000		918.072	
752.000		1231.73	
751.000		1290.16	
750.000		992.570	
749.000		882.329	
748.000		813.052	
747.000		1032.73	
746.000		1153.21	
745.000		1083.94	
744.000		1308.63	
743.000		1093.57	
742.000		1065.06	
741.000		1257.83	
740.000		1158.03	
739.000		1034.14	
738.000		1099.80	
737.000		1142.57	
736.000		1067.67	
735.000		1229.72	
734.000		1222.89	
733.000		1292.37	
732.000		1332.33	
731.000		1316.87	
730.000		1291.16	
729.000		1254.02	
728.000		1355.02	
727.000		1231.12	
726.000		1297.99	
725.000		1179.32	
724.000		1153.21	
723.000		1291.16	
722.000		1514.26	
721.000		1467.47	
720.000		1530.52	
719.000		1541.97	
718.000		1487.35	
717.000		1366.06	
716.000		1488.35	
715.000		1304.42	
714.000		1092.77	
