?
Axis	Energy	Elements=	1001
Axis	Position	Elements=	1
Axis	X	Elements=	1
Axis	Y	Elements=	1

C:\Users\AG Wittstock\Documents\Iza\06_27.01.2017\AgProbe_01\Mono 250µm\Multi Point\Ag3d Scan.VGD


	Position (Pos)\	Pt #002	
	X (X)\µm	22667.7	
	Y (Y)\µm	7958.70	
Binding Energy (E)	
eV		Counts / s
373.900		436.841	
373.880		444.845	
373.860		406.829	
373.840		418.834	
373.820		401.494	
373.800		364.146	
373.780		307.456	
373.760		296.118	
373.740		329.465	
373.720		340.803	
373.700		327.464	
373.680		265.440	
373.660		244.098	
373.640		239.429	
373.620		224.757	
373.600		206.082	
373.580		211.418	
373.560		167.400	
373.540		180.739	
373.520		168.734	
373.500		136.054	
373.480		152.061	
373.460		120.048	
373.440		109.377	
373.420		121.382	
373.400		89.3691	
373.380		91.3699	
373.360		84.7005	
373.340		67.3603	
373.320		71.3619	
373.300		45.3515	
373.280		60.6909	
373.260		76.6973	
373.240		81.3659	
373.220		64.6925	
373.200		80.6989	
373.180		90.7029	
373.160		60.6909	
373.140		60.6909	
373.120		86.7013	
373.100		59.3571	
373.080		40.6829	
373.060		32.0128	
373.040		51.3539	
373.020		72.0288	
373.000		62.6917	
372.980		56.0224	
372.960		63.3587	
372.940		48.0192	
372.920		48.6861	
372.900		56.0224	
372.880		30.0120	
372.860		22.0088	
372.840		34.0136	
372.820		50.6869	
372.800		51.3539	
372.780		41.3499	
372.760		47.3523	
372.740		72.0288	
372.720		46.6853	
372.700		36.6813	
372.680		32.6797	
372.660		57.3563	
372.640		37.3483	
372.620		36.6813	
372.600		62.0248	
372.580		56.6893	
372.560		40.0160	
372.540		33.3467	
372.520		44.0176	
372.500		46.0184	
372.480		33.3467	
372.460		56.0224	
372.440		49.3531	
372.420		27.3443	
372.400		37.3483	
372.380		50.0200	
372.360		48.0192	
372.340		44.0176	
372.320		32.6797	
372.300		28.0112	
372.280		50.0200	
372.260		48.0192	
372.240		43.3507	
372.220		30.0120	
372.200		36.0144	
372.180		45.3515	
372.160		69.3611	
372.140		40.6829	
372.120		68.6941	
372.100		58.6901	
372.080		46.6853	
372.060		64.0256	
372.040		44.6845	
372.020		58.0232	
372.000		76.6973	
371.980		56.0224	
371.960		48.6861	
371.940		58.6901	
371.920		40.0160	
371.900		35.3475	
371.880		35.3475	
371.860		53.3547	
371.840		40.6829	
371.820		51.3539	
371.800		46.0184	
371.780		38.6821	
371.760		24.6765	
371.740		34.0136	
371.720		49.3531	
371.700		80.6989	
371.680		52.6877	
371.660		50.0200	
371.640		55.3555	
371.620		62.6917	
371.600		56.0224	
371.580		16.0064	
371.560		35.3475	
371.540		51.3539	
371.520		60.6909	
371.500		52.6877	
371.480		54.0216	
371.460		42.0168	
371.440		46.6853	
371.420		47.3523	
371.400		63.3587	
371.380		55.3555	
371.360		23.3427	
371.340		54.0216	
371.320		38.0152	
371.300		30.0120	
371.280		21.3419	
371.260		21.3419	
371.240		44.0176	
371.220		42.0168	
371.200		53.3547	
371.180		38.6821	
371.160		39.3491	
371.140		52.6877	
371.120		35.3475	
371.100		52.6877	
371.080		41.3499	
371.060		31.3459	
371.040		46.0184	
371.020		53.3547	
371.000		38.0152	
370.980		30.0120	
370.960		34.6805	
370.940		24.6765	
370.920		29.3451	
